"","original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phyticacid_in_mg"
"260","MW07_0036","BMS, acidified follow-up formula, Nan Pelargon 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",90.5,67.9,284.7,0.32,2,3.1,NA,NA,NA,NA,8,0,0.3,81.6,1,6.8,54.4,94.1,31,0.8,0.05,7,NA,NA,NA,0.1,0.2,0.6,0.1,NA,17,0.2,0.8,2,8.2,1,1.34,NA
"261","MW07_0037","BMS, acidified formula, Nan Pelargon 1 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3.5,511.6,2141.8,1.824,11.4,26,NA,NA,NA,NA,58,0,2.03715399,480,5.4,50,270,670,210,5.1,0.4,90,NA,NA,NA,0.6,1.2,4.5,0.4,NA,70,1.3,4.3,16,60,8,8.04,NA
"262","MW07_0038","BMS, acidified formula, Nan Pelargon 1, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",90.5,68.6,287.3,0.24,1.5,3.4,NA,NA,NA,NA,8,0,0.267670212,63,0.7,6.6,35.4,87.8,28,0.7,0.1,12,NA,NA,NA,0.1,0.2,0.6,0.1,NA,9,0.2,0.6,2,7.9,1,1.34,NA
"263","MW07_0039","BMS, acidified, follow-up formula, Nan Pelargon 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3.5,492.4,2064.2,2.368,14.8,22.8,NA,NA,NA,NA,57,0,2.4,600,7.2,50,400,692,225,5.9,0.4,50,NA,NA,NA,0.9,1.5,4.2,0.6,NA,125,1.5,5.7,18,60,9,9.38,NA
"264","MW07_0040","BMS, casein-predominant formula, Lactogen 1 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3,512.9,2146.7,1.856,11.6,26.5,NA,NA,NA,NA,57,0,1.938356308,485,5.4,46,275,565,180,5.4,0.4,108,NA,NA,NA,0.6,1,4.3,0.4,NA,68,1,4.1,18,90,7,8.04,NA
"265","MW07_0041","BMS, casein-predominant formula, Lactogen 1, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",86.7,65.5,274,0.24,1.5,3.5,NA,NA,NA,NA,7,0,0.252054564,63.2,0.7,6,35.8,73.6,23,0.7,0.05,14,NA,NA,NA,0.1,0.1,0.6,0.05,NA,9,0.13,0.5,2,11.7,1,1.34,NA
"266","MW07_0042","BMS, follow-up formula Lactogen 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",84.8,67,281,0.32,2,3,NA,NA,NA,NA,8,0,0.315216955,81.5,1,5.5,55.5,89.1,25,0.8,0.05,5.36,NA,NA,NA,0.1,0.2,0.6,0.1,NA,12,0.1,1,3,8,1,1.34,NA
"267","MW07_0043","BMS, follow-up formula, Infacare Classic 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3,457.1,1921.8,2.672,16.7,16.7,8,4,3.6,2.6,60,0,2.575889959,583.3,6.3,51.4,437.5,722.2,240,4.2,0.328,31,NA,NA,NA,0.694,1.09,2.917,0.397,NA,57,1.4,1.986,14,63.9,7.6,5.1,NA
"268","MW07_0044","BMS, follow-up formula, Infacare Classic 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",88,67.2,282.6,0.384,2.4,2.4,1.1,0.6,0.5,0.4,9,0,0.5,84,0.9,7.4,63,104,35,0.6,0.047,4,NA,NA,NA,0.1,0.157,0.42,0.057,NA,8,0.2,0.286,2,9.2,1.1,0.7,NA
"269","MW07_0045","BMS, follow-up formula, Infacare Classic 3 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3,458.4,1927.2,2.688,16.8,16.8,8.1,4.1,3.7,2.6,60,0,2.574889959,583.2,6.3,51.6,437.5,722.1,239,4.2,0.328,31,NA,NA,NA,0.694,1.09,2.917,0.397,NA,57,1.4,1.986,14,63.7,7.6,5.3,NA
