original_food_id,region,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
NA,S,"Lemons, Limes",1322.01,"lemons, raw",Fruits and Vegetables,"Lemons, Limes and products",m,regional-SSA-fct,NA,NA,49.713193,NA,NA,0.7,0.2,NA,NA,NA,NA,7,4.1,NA,29,0.3,9,NA,NA,NA,0.09,0.12,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Lemons, Limes",1322.01,"lemons, raw",Fruits and Vegetables,"Lemons, Limes and products",m,regional-SSA-fct,NA,NA,36,NA,NA,0.7,0.5,NA,NA,NA,NA,6.3,2.1,NA,22,0.6,16,NA,NA,NA,0.1,0.04,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,M,Maize,112.01,"maize, grain, white, dried, raw",Cereals,Maize and products (including white maize),m,regional-SSA-fct,NA,NA,363,NA,NA,9.2,3.8,NA,NA,NA,NA,72.3,1.5,NA,30,3.2,85,NA,NA,NA,1.4,0.18,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792
NA,E,Maize,112.01,"maize, grain, white, dried, raw",Cereals,Maize and products (including white maize),m,regional-SSA-fct,NA,NA,362,NA,NA,8.1,3.6,NA,NA,NA,NA,69.6,7.3,NA,6,3.5,127,NA,NA,NA,1.8,0.2,NA,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
NA,S,Maize,112.01,"maize, grain, white, dried, raw",Cereals,Maize and products (including white maize),m,regional-SSA-fct,NA,NA,424.474187,NA,NA,9.2,4.3,NA,NA,NA,NA,75.3,10.6,NA,10,3,123,NA,NA,NA,2.3,0.2,NA,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
NA,W,Maize,112.01,"maize, grain, white, dried, raw",Cereals,Maize and products (including white maize),m,regional-SSA-fct,NA,NA,363,NA,NA,9.2,3.8,NA,NA,NA,NA,72.3,1.5,NA,30,3.2,85,NA,NA,NA,1.4,0.18,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792
NA,M,Maize Germ Oil,21691.02.01,maize oil,Cereals,Maize Germ Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Maize Germ Oil,21691.02.01,maize oil,Cereals,Maize Germ Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Maize Germ Oil,21691.02.01,maize oil,Cereals,Maize Germ Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Maize Germ Oil,21691.02.01,maize oil,Cereals,Maize Germ Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Marine Fish, Other",1532.01,"sardines, tinned",Animal Products,Pelagic Fish,m,regional-SSA-fct,NA,NA,106,NA,NA,19.6,2.7,NA,NA,NA,NA,0.9,0,NA,42,2.1,41,NA,NA,NA,1.5,0.04,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Marine Fish, Other",1532.01,"sardines, tinned",Animal Products,Pelagic Fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Marine Fish, Other",1532.01,"sardines, tinned",Animal Products,Pelagic Fish,l,regional-SSA-fct,NA,NA,111.615678,NA,NA,24.2,1.5,NA,NA,NA,NA,0,0,NA,18,0.3,58,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Marine Fish, Other",1532.01,"sardines, tinned",Animal Products,Pelagic Fish,m,regional-SSA-fct,NA,NA,106,NA,NA,19.6,2.7,NA,NA,NA,NA,0.9,0,NA,42,2.1,41,NA,NA,NA,1.5,0.04,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Meat, Aquatic Mammals",1580.01,"marine mammals meat, fresh, raw",Animal Products,"Meat, Aquatic Mammals",m,regional-SSA-fct,NA,NA,111,NA,NA,26.5,0.5,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Meat, Aquatic Mammals",1580.01,"marine mammals meat, fresh, raw",Animal Products,"Meat, Aquatic Mammals",m,regional-SSA-fct,NA,NA,111,NA,NA,26.5,0.5,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Meat, Aquatic Mammals",1580.01,"marine mammals meat, fresh, raw",Animal Products,"Meat, Aquatic Mammals",m,regional-SSA-fct,NA,NA,111,NA,NA,26.5,0.5,NA,NA,NA,NA,0,0,NA,7,0.3,58,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Meat, Aquatic Mammals",1580.01,"marine mammals meat, fresh, raw",Animal Products,"Meat, Aquatic Mammals",m,regional-SSA-fct,NA,NA,111,NA,NA,26.5,0.5,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Meat, Other",21114.01,"rabbit meat, fresh, raw",Animal Products,"Meat, Other and products",m,regional-SSA-fct,NA,NA,142,NA,NA,20.7,5.6,NA,NA,NA,NA,2.1,0,NA,22,0.9,25,NA,NA,NA,1.7,0.15,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Meat, Other",21170.92.01,"deer meat, fresh, raw",Animal Products,"Meat, Other and products",m,regional-SSA-fct,NA,NA,151.051625,NA,NA,30.2,3.2,NA,NA,NA,NA,0,0,NA,7,4.5,24,NA,NA,NA,2.75,0.3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Meat, Other",21170.92.01,"deer meat, fresh, raw",Animal Products,"Meat, Other and products",m,regional-SSA-fct,NA,NA,151.051625,NA,NA,30.2,3.2,NA,NA,NA,NA,0,0,NA,7,4.5,24,NA,NA,NA,2.75,0.3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Meat, Other",21114.01,"rabbit meat, fresh, raw",Animal Products,"Meat, Other and products",m,regional-SSA-fct,NA,NA,142,NA,NA,20.7,5.6,NA,NA,NA,NA,2.1,0,NA,22,0.9,25,NA,NA,NA,1.7,0.15,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Milk - Excluding Butter,2211.01,"milk, cow, whole, raw",Animal Products,Milk - (Excluding excluding Butter butter) and products,m,regional-SSA-fct,NA,NA,75,NA,NA,3.7,4.6,NA,NA,NA,NA,4.7,0,NA,210,0.1,14,NA,NA,NA,0.4,0.02,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Milk - Excluding Butter,2211.01,"milk, cow, whole, raw",Animal Products,Milk - (Excluding excluding Butter butter) and products,m,regional-SSA-fct,NA,NA,60,NA,NA,3.2,3.3,NA,NA,NA,NA,4.5,0,NA,115,0.1,11,NA,NA,NA,0.4,0,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Milk - Excluding Butter,2211.01,"milk, cow, whole, raw",Animal Products,Milk - (Excluding excluding Butter butter) and products,m,regional-SSA-fct,NA,NA,62.619502,NA,NA,3.2,3.4,NA,NA,NA,NA,4.8,0,NA,120,0.1,12,NA,NA,NA,0.38,0.01,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Milk - Excluding Butter,2211.01,"milk, cow, whole, raw",Animal Products,Milk - (Excluding excluding Butter butter) and products,m,regional-SSA-fct,NA,NA,75,NA,NA,3.7,4.6,NA,NA,NA,NA,4.7,0,NA,210,0.1,14,NA,NA,NA,0.4,0.02,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Millet,118.03,"pearl millet,  grain",Cereals,Millet and products,m,regional-SSA-fct,NA,NA,365,NA,NA,8.3,5.3,NA,NA,NA,NA,65.8,10.6,NA,19,14.3,97,NA,NA,NA,2.7,0.45,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520
NA,E,Millet,118.02,"finger millet,  grain",Cereals,Millet and products,m,regional-SSA-fct,NA,NA,328,NA,NA,6.6,1.3,NA,NA,NA,NA,62.8,13.4,NA,275,2.7,27,NA,NA,NA,1.2,0.5,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520
NA,S,Millet,118.01,"millet, grain",Cereals,Millet and products,m,regional-SSA-fct,NA,NA,119.263862,NA,NA,3.5,1,NA,NA,NA,NA,23.3,0.4,NA,3,0.6,44,NA,NA,NA,0.91,0.16,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520
NA,W,Millet,118.03,"pearl millet,  grain",Cereals,Millet and products,m,regional-SSA-fct,NA,NA,365,NA,NA,8.3,5.3,NA,NA,NA,NA,65.8,10.6,NA,19,14.3,97,NA,NA,NA,2.7,0.45,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520
NA,M,"Molluscs, Other",1562.01,"oysters, fresh, raw",Animal Products,"Molluscs, Other",m,regional-SSA-fct,NA,NA,66.921606,NA,NA,7.1,2.5,NA,NA,NA,NA,3.9,0,NA,45,3.5,54,NA,NA,NA,2.2,1.49,NA,0,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Molluscs, Other",1562.01,"oysters, fresh, raw",Animal Products,"Molluscs, Other",m,regional-SSA-fct,NA,NA,66.921606,NA,NA,7.1,2.5,NA,NA,NA,NA,3.9,0,NA,45,6.7,54,NA,NA,NA,90.95,4.46,NA,0,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Molluscs, Other",1562.01,"oysters, fresh, raw",Animal Products,"Molluscs, Other",m,regional-SSA-fct,NA,NA,66.921606,NA,NA,7.1,2.5,NA,NA,NA,NA,3.9,0,NA,45,6.7,54,NA,NA,NA,90.95,4.46,NA,0,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Molluscs, Other",1562.01,"oysters, fresh, raw",Animal Products,"Molluscs, Other",m,regional-SSA-fct,NA,NA,66.921606,NA,NA,7.1,2.5,NA,NA,NA,NA,3.9,0,NA,45,3.5,54,NA,NA,NA,2.2,1.49,NA,0,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Mutton & Goat Meat,21115.01,"sheep meat, fresh, raw",Animal Products,Mutton & and Goat Meat and products,m,regional-SSA-fct,NA,NA,217,NA,NA,17.2,16.5,NA,NA,NA,NA,0,0,NA,9,2.3,20,NA,NA,NA,3.1,0.07,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Mutton & Goat Meat,21116.01,"goat meat, fresh, raw",Animal Products,Mutton & and Goat Meat and products,m,regional-SSA-fct,NA,NA,269,NA,NA,24.9,18,NA,NA,NA,NA,0,0,NA,4,1.7,23,NA,NA,NA,4.1,0.1,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Mutton & Goat Meat,21116.01,"goat meat, fresh, raw",Animal Products,Mutton & and Goat Meat and products,m,regional-SSA-fct,NA,NA,104.2065,NA,NA,20.6,2.3,NA,NA,NA,NA,0,0,NA,13,2.8,0,NA,NA,NA,4,0.26,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Mutton & Goat Meat,21115.01,"sheep meat, fresh, raw",Animal Products,Mutton & and Goat Meat and products,m,regional-SSA-fct,NA,NA,217,NA,NA,17.2,16.5,NA,NA,NA,NA,0,0,NA,9,2.3,20,NA,NA,NA,3.1,0.07,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Nuts,1372.01,cashew nuts,Other foods,Nuts and products,m,regional-SSA-fct,NA,NA,575,NA,NA,19,42.8,NA,NA,NA,NA,27.1,2.9,NA,54,10.4,267,NA,NA,NA,2.1,2.15,NA,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580
NA,E,Nuts,1372.01,cashew nuts,Other foods,Nuts and products,m,regional-SSA-fct,NA,NA,589,NA,NA,20,52.2,NA,NA,NA,NA,9.5,10.9,NA,266,3.7,296,NA,NA,NA,2.9,0.9,NA,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580
NA,S,Nuts,1372.01,cashew nuts,Other foods,Nuts and products,m,regional-SSA-fct,NA,NA,605.401529,NA,NA,15.3,46.4,NA,NA,NA,NA,26.6,6.1,NA,45,6,260,NA,NA,NA,5.6,2.22,NA,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580
NA,W,Nuts,1372.01,cashew nuts,Other foods,Nuts and products,m,regional-SSA-fct,NA,NA,575,NA,NA,19,42.8,NA,NA,NA,NA,27.1,2.9,NA,54,10.4,267,NA,NA,NA,2.1,2.15,NA,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580
NA,M,Oats,23140.07.01,"oats, rolled",Cereals,Oats and products,h,regional-SSA-fct,NA,NA,427.10325,NA,NA,10.7,10.4,NA,NA,NA,NA,61.6,1.6,NA,54,4.4,153,NA,NA,NA,3.18,0.36,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,E,Oats,23140.07.01,"oats, rolled",Cereals,Oats and products,h,regional-SSA-fct,NA,NA,427.10325,NA,NA,10.7,10.4,NA,NA,NA,NA,61.6,1.6,NA,54,4.4,153,NA,NA,NA,3.18,0.36,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,S,Oats,23140.07.01,"oats, rolled",Cereals,Oats and products,h,regional-SSA-fct,NA,NA,427.10325,NA,NA,10.7,10.4,NA,NA,NA,NA,61.6,1.6,NA,54,4.4,153,NA,NA,NA,3.18,0.36,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,W,Oats,23140.07.01,"oats, rolled",Cereals,Oats and products,h,regional-SSA-fct,NA,NA,427.10325,NA,NA,10.7,10.4,NA,NA,NA,NA,61.6,1.6,NA,54,4.4,153,NA,NA,NA,3.18,0.36,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,M,"Offals, Edible",21151.02,"beef liver, fresh, raw",Animal Products,"Offals, Edible and products",m,regional-SSA-fct,NA,NA,133,NA,NA,19.1,4.5,NA,NA,NA,NA,3.8,0,NA,8,9.7,131,NA,NA,NA,3,0.5,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Offals, Edible",21151.01,"beef offal, fresh, raw",Animal Products,"Offals, Edible and products",m,regional-SSA-fct,NA,NA,83,NA,NA,14.5,2.4,NA,NA,NA,NA,0,0,NA,3,1,14,NA,NA,NA,2.4,0.1,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Offals, Edible",21151.01,"beef offal, fresh, raw",Animal Products,"Offals, Edible and products",m,regional-SSA-fct,NA,NA,161.089866,NA,NA,15.7,11,NA,NA,NA,NA,0,0,NA,12,1.7,10,NA,NA,NA,1.94,0.13,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Offals, Edible",21151.02,"beef liver, fresh, raw",Animal Products,"Offals, Edible and products",m,regional-SSA-fct,NA,NA,133,NA,NA,19.1,4.5,NA,NA,NA,NA,3.8,0,NA,8,9.7,131,NA,NA,NA,3,0.5,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Oilcrops, Other",1441.01,linseeds,Other foods,"Oilcrops, Other and products",m,regional-SSA-fct,NA,NA,531.548757,NA,NA,17.5,36.9,NA,NA,NA,NA,3.5,29.5,NA,250,44.2,346,NA,NA,NA,8.24,3.88,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,E,"Oilcrops, Other",1441.01,linseeds,Other foods,"Oilcrops, Other and products",m,regional-SSA-fct,NA,NA,531.548757,NA,NA,17.5,36.9,NA,NA,NA,NA,3.5,29.5,NA,250,44.2,346,NA,NA,NA,8.24,3.88,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,S,"Oilcrops, Other",1441.01,linseeds,Other foods,"Oilcrops, Other and products",m,regional-SSA-fct,NA,NA,531.548757,NA,NA,17.5,36.9,NA,NA,NA,NA,3.5,29.5,NA,250,44.2,346,NA,NA,NA,8.24,3.88,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,W,"Oilcrops, Other",1441.01,linseeds,Other foods,"Oilcrops, Other and products",m,regional-SSA-fct,NA,NA,531.548757,NA,NA,17.5,36.9,NA,NA,NA,NA,3.5,29.5,NA,250,44.2,346,NA,NA,NA,8.24,3.88,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,M,Olive Oil,2167.01,olive oil,Other foods,Olive Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,1,0.4,0,NA,NA,NA,0.06,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Olive Oil,2167.01,olive oil,Other foods,Olive Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,1,0.4,0,NA,NA,NA,0.06,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Olive Oil,2167.01,olive oil,Other foods,Olive Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,1,0,0,NA,NA,NA,0.4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Olive Oil,2167.01,olive oil,Other foods,Olive Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,1,0.4,0,NA,NA,NA,0.06,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Olives,F0262.01,"olives, preserved",Fruits and Vegetables,Olives (including preserved) and products,h,regional-SSA-fct,NA,NA,123.565965,NA,NA,0.8,10.7,NA,NA,NA,NA,3.1,3.2,NA,88,3.3,4,NA,NA,NA,0.22,0.25,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Olives,F0262.01,"olives, preserved",Fruits and Vegetables,Olives (including preserved) and products,h,regional-SSA-fct,NA,NA,123.565965,NA,NA,0.8,10.7,NA,NA,NA,NA,3.1,3.2,NA,88,3.3,4,NA,NA,NA,0.22,0.25,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Olives,F0262.01,"olives, preserved",Fruits and Vegetables,Olives (including preserved) and products,h,regional-SSA-fct,NA,NA,123.565965,NA,NA,0.8,10.7,NA,NA,NA,NA,3.1,3.2,NA,88,3.3,4,NA,NA,NA,0.22,0.25,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Olives,F0262.01,"olives, preserved",Fruits and Vegetables,Olives (including preserved) and products,h,regional-SSA-fct,NA,NA,123.565965,NA,NA,0.8,10.7,NA,NA,NA,NA,3.1,3.2,NA,88,3.3,4,NA,NA,NA,0.22,0.25,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Onions,1253.02.01,"onions, raw",Fruits and Vegetables,Onions and products,h,regional-SSA-fct,NA,NA,32,NA,NA,1.1,0.1,NA,NA,NA,NA,5.6,1.8,NA,27,0.5,7,NA,NA,NA,0.2,0.04,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,E,Onions,1253.02.01,"onions, raw",Fruits and Vegetables,Onions and products,h,regional-SSA-fct,NA,NA,40,NA,NA,1.3,0.2,NA,NA,NA,NA,7.9,1.3,NA,23,0.2,10,NA,NA,NA,0.2,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Onions,1253.02.01,"onions, raw",Fruits and Vegetables,Onions and products,h,regional-SSA-fct,NA,NA,45.889101,NA,NA,0.9,0.1,NA,NA,NA,NA,8.7,1.5,NA,30,0.5,12,NA,NA,NA,0.31,0.14,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Onions,1253.02.01,"onions, raw",Fruits and Vegetables,Onions and products,h,regional-SSA-fct,NA,NA,32,NA,NA,1.1,0.1,NA,NA,NA,NA,5.6,1.8,NA,27,0.5,7,NA,NA,NA,0.2,0.04,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,M,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",m,regional-SSA-fct,NA,NA,45,NA,NA,0.8,0.3,NA,NA,NA,NA,8.9,1.7,NA,32,0.1,11,NA,NA,NA,0.1,0.05,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,E,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",m,regional-SSA-fct,NA,NA,47,NA,NA,0.9,0.1,NA,NA,NA,NA,9.4,2.4,NA,40,0.1,10,NA,NA,NA,0.1,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",m,regional-SSA-fct,NA,NA,54.493307,NA,NA,0.8,0.1,NA,NA,NA,NA,9.2,3.2,NA,30,0.3,8,NA,NA,NA,0.22,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",m,regional-SSA-fct,NA,NA,45,NA,NA,0.8,0.3,NA,NA,NA,NA,8.9,1.7,NA,32,0.1,11,NA,NA,NA,0.1,0.05,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,M,Palm Oil,2165.01,palm oil,Other foods,Palm Oil and products,h,regional-SSA-fct,NA,NA,895,NA,NA,0,99.4,NA,NA,NA,NA,0,0,NA,3,0.4,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Palm Oil,2165.01,palm oil,Other foods,Palm Oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Palm Oil,2165.01,palm oil,Other foods,Palm Oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Palm Oil,2165.01,palm oil,Other foods,Palm Oil and products,h,regional-SSA-fct,NA,NA,895,NA,NA,0,99.4,NA,NA,NA,NA,0,0,NA,3,0.4,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Palmkernel Oil,21691.14.01,palm kernel oil,Other foods,Palmkernel Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,3,0.4,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Palmkernel Oil,21691.14.01,palm kernel oil,Other foods,Palmkernel Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Palmkernel Oil,21691.14.01,palm kernel oil,Other foods,Palmkernel Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Palmkernel Oil,21691.14.01,palm kernel oil,Other foods,Palmkernel Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,3,0.4,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
