"ihs5_foodid","ihs5_fooditem","ref_source","ref_fctcode","ref_fctitem","ref.x","ref.x.x","ref","ref_fct","ref_code","ref_item","fooditem","WATER","ENERC1","VITA_RAE","VITA_fct","VITA_code","THIA","RIBF","NIA","VITB6","VITB6_fct","VITB6_code","FOL","FOL_fct","FOL_code","VITB12","VITC","VITE","VITE_fct","VITE_code","CA","CU","CU_fct","CU_code","FE","ID","K","K_fct","K_code","MG","MG_fct","MG_code","na","SE","SE_fct","SE_code","ZN","ID_cal","FoodName_3","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","food_genus_id"
"705","Chambiko - soured milk","LSOFCT","30014","sour milk, packaged (mafi)",NA,NA,NA,NA,NA,NA,"sour milk, packaged (mafi)","87.8","64.5","17.09848485","KENFCT","6006","0.02","0.15","0.1","0.016","","","7","","","0.198712121","1","0.13","","","162","0.01",NA,NA,"0.1",NA,"190",NA,NA,"14",NA,NA,"71","2.2","","","0.59","0.0278","sour milk, traditional","AP","Animal Products","2848","milk - (excluding excluding butter butter) and products","22290","dairy products n.e.c. [only calories]","22290.01"
"908","Chibuku (commercial traditional-style beer)","LSOFCT","140001","beer, 5% alcohol",NA,NA,NA,NA,NA,NA,"beer, 5% alcohol","91.96","16.04","0","WAFCT","12_001","0.005","0.025","0.041","0.046","","","6","","","0","0","0","","","4","0.005",NA,NA,"0.02",NA,"27",NA,NA,"6",NA,NA,"4","0.6","","","0.01","5e-04","beer, sorghum grain","CE","Cereals","2657","beverages, fermented and products","24310.04","Beer of sorghum, malted","24310.04.01"
"908","Chibuku (commercial traditional-style beer)","LSOFCT","140001","beer, 5% alcohol",NA,NA,NA,NA,NA,NA,"beer, 5% alcohol","91.96","16.04","0","WAFCT","12_001","0.005","0.025","0.041","0.046","","","6","","","0","0","0","","","4","0.005",NA,NA,"0.02",NA,"27",NA,NA,"6",NA,NA,"4","0.6","","","0.01","5e-04","beer, maize grain","CE","Cereals","2657","beverages, fermented and products","24310.02","Beer of maize, malted","24310.02.01"
"508","Chicken","MAFOODS","MW03_0011","chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)","26",NA,NA,NA,NA,NA,"chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)","73.06","128.77","7.2","","","0.088","0.064","3.712","0.272","","","1.6","","","0.24","1.28","0.28","","","8",NA,NA,NA,"0.96",NA,"207.2",NA,NA,"17.6",NA,NA,"43.2","11.84175824","KENFCT","7009","1.6","0","chicken meat, fresh, raw","AP","Animal Products","2734","poultry meat and products","21121","meat of chickens, fresh or chilled","21121.01"
"824","Chicken (vendor)","MAFOODS","MW03_0010","chicken stew, (nkhuku yokazingira)","R41",NA,NA,NA,NA,NA,"chicken stew, (nkhuku yokazingira)","72.5296659","157.0468664","13.25115207","","","0.055448445","0.050560484","2.235670507","0.144195565","","","3.193491359","","","0.107834101","10.29278226","2.914095622","","","120.0633641","0.73375288",NA,NA,"2.894786866","0.443548387","216.4405818",NA,NA,"28.36497696",NA,NA,"32.59376152","2.284170507","","","2.006693548","0","chicken meat, fresh, stew","AP","Animal Products","2734","poultry meat and products","21121","meat of chickens, fresh or chilled","21121.03"
"522","Chicken/Pieces","MAFOODS","MW03_0011","chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)","26",NA,NA,NA,NA,NA,"chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)","73.06","128.77","7.2","","","0.088","0.064","3.712","0.272","","","1.6","","","0.24","1.28","0.28","","","8",NA,NA,NA,"0.96",NA,"207.2",NA,NA,"17.6",NA,NA,"43.2","11.84175824","KENFCT","7009","1.6","0","chicken meat, minced, fresh, raw","AP","Animal Products","2734","poultry meat and products","21121","meat of chickens, fresh or chilled","21121.02"
"405","Chinese cabbage","MAFOODS","MW04_0003","cabbage, chinese, boiled, brassica chinensis,(chayinizi)","9",NA,NA,NA,NA,NA,"cabbage, chinese, boiled, brassica chinensis,(chayinizi)","95","18.75","26.66666667","KENFCT","4005","0.023","0.023","0.455","0.049","","","12.5","","","0","37.5","0","","","84","0.06",NA,NA,"0.341",NA,"167",NA,NA,"15",NA,NA,"9","1.666666667","","","0.6","0.0089","cabbages, chinese, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1212","cabbages","1212.02"
"821","Chips (vendor)","MAFOODS","MW01_0025","french fries/chips, (chipisi)","R19",NA,NA,NA,NA,NA,"french fries/chips, (chipisi)","48.87788779","263.6532178","0","KENFCT","15110","0.187247525","0.01269802","1.945618812","0.297401733","","","3.291460396","","","0","16.5029703","7.544537954","","","8.613861386","0.175544554",NA,NA,"1.023267327",NA,"461.389604",NA,NA,"20.48019802",NA,NA,"2.896039604","0.752902978","","","0.424158416","0.0011","potato, crisps","RT","Roots and Tubers","2531","potatoes and products","1510","potatoes","1510.02"
"903","Cocoa, millo","KENFCT","12004","drinking chocolate, powder",NA,NA,NA,NA,NA,NA,"drinking chocolate, powder","1","541","61","","","0.03","0.15","0.5","0.11","MOZFCT","MZF0241","6","MOZFCT","MZF0241","0","1","0.19","MOZFCT","MZF0241","60",NA,NA,NA,"2",NA,"591",NA,NA,"98",NA,NA,"120","3","","","1.55","0","chocolate, milk","OT","Other foods","2633","cocoa beans and products","F0666","chocolate products nes","F0666.01"
"208","Cocoyam (masimbi)","MAFOODS","MW01_0013","cocoyam, tuber, raw, (masimbi/koko)","WA",NA,NA,NA,NA,NA,"cocoyam, tuber, raw, (masimbi/koko)","64.7","137.4","0","WAFCT","02_005","0.1","0.03","0.8","0.24","","","22","","","0","8","2.4","","","11","0.16",NA,NA,"0.6",NA,"457",NA,NA,"13",NA,NA,"7","1.138709677","KENFCT","2019","1.38","0.0059","taros, raw","RT","Roots and Tubers","2534","roots, other and products","1550","taro ","1550.01"
