,ihs5_foodid,ihs5_fooditem,food_genus_id,ref_source,ref_fctcode,ref_fctitem,ref,ref_item,fooditem,WATER,ENERC1,VITA_RAE,THIA,RIBF,NIA,VITB6,FOL,VITB12,VITC,VITE,CA,CU,FE,ID,K,MG,na,SE,ZN,ID_cal
81,506,Pork,21113.01.01,MAFOODS,MW03_0064,"pork, meat,  ~20% fat, raw, sus scrofa domesticus, (nyama ya nkhumba)",WA,NA,"pork, meat,  ~20% fat, raw, sus scrofa domesticus, (nyama ya nkhumba)",60.1,265.2,0,0.72,0.22,3.8,0.32,2,0.8,0,0.1,10,0.1,1.4,NA,301,20,68,26.10280374,3.6,0.0027
82,206,Potato crisps,1510.02,MAFOODS,MW01_0025,"french fries/chips, (chipisi)",R19,NA,"french fries/chips, (chipisi)",48.87788779,263.6532178,0,0.187247525,0.01269802,1.945618812,0.297401733,3.291460396,0,16.5029703,7.544537954,8.613861386,0.175544554,1.023267327,NA,461.389604,20.48019802,2.896039604,0.752902978,0.424158416,0.0011
83,702,Powdered milk,22211.01,WAFCT,10_002,"milk, cow, powder, whole, unfortified","4E(Milk, cow, powder, whole / Lait de vache, en poudre, entier), 11E(Milk, powder, whole / Laid en poudre entier), AU14(09A30026), SA10(2721), US28(01090)",NA,"milk, cow, powder, whole, unfortified",4.5,493,329,0.3,1.2,0.8,0.25,37,1.8,13,1.1,925,0.08,0.8,NA,1140,85,380,24.6642562,3.34,0
84,410,Pumpkin,1235.01,MAFOODS,MW04_0034,"pumpkin, boiled, cucurbita maxima, (dzungu lowiritsa)",9,NA,"pumpkin, boiled, cucurbita maxima, (dzungu lowiritsa)",84,59.822,189.091,0.073,0.036,0.727,0.145,9.091,0,9.636,2.036,35,0.1,2,NA,358,32,8,1.649484536,0.2,3.00E-04
85,106,Rice,23161.01.01,MAFOODS,MW01_0058,"rice,white, raw, oryza sativa, (mpunga woyera)",9,NA,"rice,white, raw, oryza sativa, (mpunga woyera)",13,348.101,0,0.147,0.029,0.205,0.156,7.82,0,0,0.108,7.82,0.6,0.391,NA,183,169,43.011,0.990888383,1.6,4.00E-04
86,106,Rice,23161.02.01,MAFOODS,MW01_0058,"rice,white, raw, oryza sativa, (mpunga woyera)",9,NA,"rice,white, raw, oryza sativa, (mpunga woyera)",13,348.101,0,0.147,0.029,0.205,0.156,7.82,0,0,0.108,7.82,0.6,0.391,NA,183,169,43.011,0.990888383,1.6,4.00E-04
87,834,Rosted groundnuts,142.04,AHHA,8006,"groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)",NA,NA,"* groundnut, dry, roasted",6.5,597,0,0.783,0.133,14.725,0.5301,77,0,0,1.11,45,0.93,2.1,NA,725,200,6,2.9,2.32,6.00E-04
88,832,Rosted sweet potatoes,1530.05,AHHA,5010,,NA,NA,"* sweet potato, white, eaten without skin, grilled",77.3,89,1.8,0.063,0.0285,0.38,0.1791,26.6,0,6.4,0.120836502,17,1.24,1,NA,337,81,15,1,0.82,0.0011
89,832,Rosted sweet potatoes,1530.07,AHHA,5010,,NA,NA,"* sweet potato, white, eaten without skin, grilled",77.3,89,1.8,0.063,0.0285,0.38,0.1791,26.6,0,6.4,0.120836502,17,1.24,1,NA,337,81,15,1,0.82,0.0011
90,810,Salt,1699.02,KENFCT,13027,"salt, iodized","1G(WL), 1M(274), 16GH, US28(02047)",NA,"salt, iodized",0.2,0,0,0,0,0,0,0,0,0,0,32,0.080241206,0.1,NA,98,1,38500,2,0.1,0
91,828,Samosa (vendor),F0022.05,KENFCT,15026,vegetable samosa,NA,NA,vegetable samosa,30.2,325,138,0.46,0.31,3.2,0.15,44,0.33,23.7,0,55,NA,3.8,NA,333,35,243,1,1.76,0
92,828,Samosa (vendor),F0022.06,KENFCT,15026,vegetable samosa,NA,NA,vegetable samosa,30.2,325,138,0.46,0.31,3.2,0.15,44,0.33,23.7,0,55,NA,3.8,NA,333,35,243,1,1.76,0
93,510,"Small animal Ã¯Â¿Â½ rabbit, mice, etc.",21114.01,MAFOODS,MW03_0067,"rabbit, meat, raw, oryctolagus cuniculus, (nyama ya kalulu)",WA,NA,"rabbit, meat, raw, oryctolagus cuniculus, (nyama ya kalulu)",72.7,129.6,10,0.11,0.15,9.5,0.57,5,10,0,0.8,16,0.15,1.2,NA,351,27,60,20.68181818,1.7,0
94,510,"Small animal Ã¯Â¿Â½ rabbit, mice, etc.",21119.01.01,MAFOODS,MW03_0067,"rabbit, meat, raw, oryctolagus cuniculus, (nyama ya kalulu)",WA,NA,"rabbit, meat, raw, oryctolagus cuniculus, (nyama ya kalulu)",72.7,129.6,10,0.11,0.15,9.5,0.57,5,10,0,0.8,16,0.15,1.2,NA,351,27,60,20.68181818,1.7,0
95,907,"Soft drinks (Coca-cola, Fanta, Sprite, etc.)",24490.02,WAFCT,12_024,"carbonated drink (e.g. coca-cola, sprite)","AU14(01B20508), US28(14148; 14145; 14150)",NA,"carbonated drink (e.g. coca-cola, sprite)",90,40,0,0,0,0,0,0,0,0,0,2,0.01,0.1,NA,2,1,9,0,0.06,0
96,108,Sorghum (mapira),114.01,MAFOODS,MW01_0060,"sorghum, wholegrain, raw, sorghum bicolor, (mapira)",10,NA,"sorghum, wholegrain, raw, sorghum bicolor, (mapira)",12.4,357.572,0.938,0.354,0.157,3.244,0.246,28.512,0,0,1.081,17.52,0.445884,12.6144,NA,370.653,152.424,13.764,19.7976,1.8396,0.001
97,314,Soya,141.01,MAFOODS,MW02_0019,"soybean, dry, (soya)",10,NA,"soybean, dry, (soya)",8.54,432.154,1.008,0.706,0.08,2.017,0.827,378.142,0,0,0.726,240.645,1.281,17.2935,NA,1754.58,232.41,5.042,5.2521,3.88875,0.0012
98,306,Soyabean flour,141.02,MAFOODS,MW02_0012,"flour, roasted soybean, (ufa wa soya)",6,NA,"flour, roasted soybean, (ufa wa soya)",9.1,458,1.002,0.702,0.08,2.005,0.822,375.825,0,0,0.722,264.371,1312,9.511,NA,1743.837,243.5,5.011,7.404,3.479,0.0012
99,114,"Spaghetti, macaroni, pasta",23710.01,KENFCT,1031,"pasta, spaghetti, dry, raw-imported","AU14(02A10358), UK7(11-716), US28(20120)",NA,"pasta, spaghetti, dry, raw-imported",10.6,354,0,0.07,0.06,1.1,0.128704319,17.82059801,0,0,0.316810631,18,0.297009967,1,NA,142,30,5,12,0.6,0
100,811,Spices,1699.03,KENFCT,13028,"spice, mixed or all spice","UK7(13-801), US28(02001)",NA,"spice, mixed or all spice",8.5,360,55,0.25,0.45,4.9,0.21,36,0,30,2.705914567,727,0.55,35.5,NA,1440,203,90,3,3.65,0
101,904,Squash (Sobo drink concentrate),24490.01,WAFCT,12_012,"juice, canned or bottled, sweetened (e.g. apple)","DK2(194), US28(09016)",NA,"juice, canned or bottled, sweetened (e.g. apple)",87.9,48,0,0.02,0.02,0.1,0.03,0,0,1,0.01,9,0.01,0.3,NA,80,5,10,0,0.04,0
102,801,Sugar,23520.01,KENFCT,11003,"sugar, white, fortified, (suga wa waiti)","1E, 1G(US), 1P(80), 3B(Sugar / Sucre), 11E(Sugar / Sucre), SA10(3989), US28(19335)",NA,"sugar, white, granulated or lump",0,400,0,0,0,0,0,0,0,0,0,0,0.04,0,NA,0,0,0,1,0,0
103,802,Sugar Cane,1802.01,MAFOODS,MW08_0007,"sugarcane, raw, saccharum officinarum, (mzimbe)",9,NA,"sugarcane, raw, saccharum officinarum, (mzimbe)",90,39.712,0,0.030612245,0.040816327,0.102040816,0,0,0,7.194,0,8,0,0.647,NA,153.0612245,13.26530612,1.020408163,0,0.142857143,0.001
104,816,"Sweets, candy, chocolates",23670.01.01,WAFCT,13_021,"sweets, chocolate, milk","AU14(12C10406), FAO(1594), SA10(4003), UK7(17-491), US28(19902)",NA,"sweets, chocolate, milk",1,532,21,0.05,0.08,0.7,0.04,12,0.08,0,1.2,45,0.81,4.3,NA,400,114,24,0,1.38,0
105,816,"Sweets, candy, chocolates",F0666.01,WAFCT,13_021,"sweets, chocolate, milk","AU14(12C10406), FAO(1594), SA10(4003), UK7(17-491), US28(19902)",NA,"sweets, chocolate, milk",1,532,21,0.05,0.08,0.7,0.04,12,0.08,0,1.2,45,0.81,4.3,NA,400,114,24,0,1.38,0
106,403,Tanaposi/Rape,1214.03,MAFOODS,MW04_0020,"leaves, rape, raw, (lepu)",10,NA,"leaves, rape, raw, (lepu)",89.67,37.22,579,0.07,0.1,0.6,0.263,194,0,60,2.86,219.39,0.055105,2.7707,NA,296,44.496,40,0.84048,0.4429,0.0146
107,901,Tea,23914.01,KENFCT,12005,"tea, chai, instant dry powder","2B(18020), DK2(115), UK7(17-171), US28(14355)",NA,"tea, chai, instant dry powder",5.1,299,0,0,0.99,10.8,0,2372.5,0,0,0,118,14.235,2.3,NA,6040,272,72,15,1.7,0.0027
108,912,Thobwa,24230.03.03,WAFCT,12_002,"beer, maize (ca. 3% v/v alcohol)","FAO(1562), SA10(4039), US28(14003), 12_004",NA,"beer, maize (ca. 3% v/v alcohol)",93.2,33,0,0.01,0.03,0.3,0.05,6,0,0,0,4,0.01,0.2,NA,80,14,3,5.3125,0.07,0.001
109,512,Tinned meat or fish,F1172.01,WAFCT,07_063,"sausage, wiener (beef, pork, chicken) canned","2P(189; 190), US28(07083)",NA,"sausage, wiener (beef, pork, chicken) canned",64.8,234,8,0.09,0.11,1.6,0.12,4,1,0,0.22,10,0.03,0.9,NA,101,7,879,6.16,1.6,0
110,512,Tinned meat or fish,1532.01,WAFCT,07_063,"sausage, wiener (beef, pork, chicken) canned","2P(189; 190), US28(07083)",NA,"sausage, wiener (beef, pork, chicken) canned",64.8,234,8,0.09,0.11,1.6,0.12,4,1,0,0.22,10,0.03,0.9,NA,101,7,879,6.16,1.6,0
111,408,Tomato,1234.01,MAFOODS,MW04_0036,"tomato, ripe, raw, (tomato)",10,NA,"tomato, ripe, raw, (tomato)",94.52,25.68,42,0.037,0.019,0.594,0.08,15,0,13.7,0.54,18.92,0.10175,0.4884,NA,237,12.925,5,0.4301,0.1397,0.0044
112,813,Tomato sauce (bottle),21399.01.01,KENFCT,13031,"tomato, sauce (ketchup)","DK2(596), UK7(13-530), US28(11531)",NA,"tomato, sauce (ketchup)",67.5,115,22,0,0.1,1.3,0.627192982,96.92982456,0,0,5.473684211,13,0.456140351,0.7,NA,316,16,918,0.5,0.18,0
113,913,Traditional beer (masese),24310.02.01,WAFCT,12_002,"beer, maize (ca. 3% v/v alcohol)","FAO(1562), SA10(4039), US28(14003), 12_004",NA,"beer, maize (ca. 3% v/v alcohol)",93.2,33,0,0.01,0.03,0.3,0.05,6,0,0,0,4,0.01,0.2,NA,80,14,3,5.3125,0.07,5.00E-04
114,110,Wheat flour,23110.01,WAFCT,01_043,"wheat flour, white, unfortified","1M(375), 2P(34), FAO(173; 174; 175), IN17(A018), K2014, SA1020, SGS",NA,"wheat flour, white, unfortified",12.2,352,0,0.21,0.09,2.4,0.45,240,0,0,0.14,17,0.1,2,NA,111,20,4,3,0.5,0.0114
115,110,Wheat flour,23110.02,WAFCT,01_043,"wheat flour, white, unfortified","1M(375), 2P(34), FAO(173; 174; 175), IN17(A018), K2014, SA1020, SGS",NA,"wheat flour, white, unfortified",12.2,352,0,0.21,0.09,2.4,0.45,240,0,0,0.14,17,0.1,2,NA,111,20,4,3,0.5,0.0114
116,203,White sweet potato,1530.01,MAFOODS,MW01_0065,"sweet potato, white-fleshed, raw, ipomoea batatas, (mbatata zoyera mkati)",10,NA,"sweet potato, white-fleshed, raw, ipomoea batatas, (mbatata zoyera mkati)",77.28,89.26,2.213,0.066,0.03,0.443,0.199,38.358,0,16.45,0.125,16.798,0.174336,0.23154,NA,337.112,19.0907,14.753,0.043811,0.170704,0.0011
117,914,Wine or commercial liquor,24212.02.01,KENFCT,12008,,NA,NA,"wine, white, dry",88.7,76,0,0,0,0.1,0.047711111,0.837037037,0,2,0,8,0.00837037,0.5,NA,54,8,14,1,0.08,0
118,706,Yoghurt,22230.01.01,KENFCT,6026,"yoghurt, cow milk, whole, plain","3B(Yoghurt whole / Yaourt entier), 4E(Yoghurt, whole / Yaourt, entier), 12R, AU14(09C10093), IN17(L002), P2013, US28(01116), 10_025, 10_001",NA,"yoghurt, cow milk, whole, plain",82,85,34,0.1,0.2,0.1,0.047058824,8.235294118,0.2,1.176470588,0.152941176,149,0.011764706,0.2,NA,130,10,32,2,0.34,0
119,103,Maize ufa madeya (bran flour),39120.04.01,MAFOODS;MAFOODS,MW01_0035;MW01_0036,"maize, bran, zea mays, (deya/gaga);maize, grain, orange, raw, zea mays, (mthikinya)",NA,NA,NA,11.765,372.707,2.299,0.2545,0.107,2.3915,0.222,18.3894,0,64.194,0.8485,9.5,0.25,2.6825,NA,438.5,154.5,14.5,9.566736211,3,5.00E-04
120,111,Bread,F0020.01,MAFOODS;MAFOODS;MAFOODS,MW01_0003;MW01_0004;MW01_0007,"bread, wheat, brown, homemade;bread, wheat, white, commercial, (buledi wa waiti);cake, plain, (keke)",NA,NA,NA,28.81105828,303.7105578,48.05615648,0.24054879,0.170011221,1.810729854,0.158771282,38.40346104,0.103572154,0.062437562,0.706335973,42.77336992,0.130311665,2.058381651,NA,146.8295534,25.54623544,715.5691476,6.591960124,0.598799114,0.0114
121,111,Bread,F0020.02,MAFOODS;MAFOODS;MAFOODS,MW01_0003;MW01_0004;MW01_0007,"bread, wheat, brown, homemade;bread, wheat, white, commercial, (buledi wa waiti);cake, plain, (keke)",NA,NA,NA,28.81105828,303.7105578,48.05615648,0.24054879,0.170011221,1.810729854,0.158771282,38.40346104,0.103572154,0.062437562,0.706335973,42.77336992,0.130311665,2.058381651,NA,146.8295534,25.54623544,715.5691476,6.591960124,0.598799114,0.0114
122,115,Breakfast cereal,23140.03.01,KENFCT;KENFCT,1009;1011,"breakfast cereal, flakes of corn;buns, currant",NA,NA,NA,16.25,339.5,5,0.125314796,0.055,1.45,0.026364113,5.272822666,0,0,0.087880378,46.5,NA,1.45,NA,160,20,595,9,0.4,0
123,115,Breakfast cereal,23140.03.02,KENFCT;KENFCT,1009;1011,"breakfast cereal, flakes of corn;buns, currant",NA,NA,NA,16.25,339.5,5,0.125314796,0.055,1.45,0.026364113,5.272822666,0,0,0.087880378,46.5,NA,1.45,NA,160,20,595,9,0.4,0
124,116,Infant feeding cereals,23991.01.01,MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS,MW07_0001;MW07_0002;MW07_0003;MW07_0004;MW07_0005;MW07_0006;MW07_0007;MW07_0008,"baby cereal, containing milk, 12 months, strawberry flavour, dry;baby cereal, containing milk, 6 months, dry;baby cereal, containing milk, 7 months, regular flavour, dry;baby cereal, containing milk, 9 months, mixed fruit flavour, dry;baby cereal, maize, 6 months, dry;baby cereal, maize, 9 months, strawberry and banana flavour, dry (nestum);baby cereal, mixed cereal, 7 months, dry;baby cereal, mixed grain, 7 months, dry",NA,NA,NA,4.5875,385,0,0.8875,0.525,3.8,0.3875,60.625,1.3625,71.45,3.1875,478.575,0.334,19.35,NA,491.375,81.175,167,25.9,4.4375,0
125,406,Other cultivated green leafy vegetables,1215.02,MAFOODS;MAFOODS;WAFCT;MAFOODS;MAFOODS;MAFOODS,MW04_0014;MW04_0012;04_004;MW04_0019;MW04_0021;MW04_0011,"leaves, cassava, raw, (ntapasha/chigwada);leaves, black jack, raw, (chisoso);okra, leaves, fresh, raw;leaves, pumpkin, raw, (nkhwani);leaves, roselle, raw, hibiscus subdaiffa, (chidede);leaves, amaranth, raw, (bonongwe)",NA,NA,NA,85.11333333,51.96966667,276.6210178,0.128333333,0.326,0.869666667,0.248166667,117.8366667,0,38.34266667,1.854666667,231.4387833,0.128813333,5.7664075,NA,439.5906667,74.34933333,54.7,1.075028,0.651023333,0.0089
126,406,Other cultivated green leafy vegetables,1219.01.01,MAFOODS;MAFOODS;WAFCT;MAFOODS;MAFOODS;MAFOODS,MW04_0014;MW04_0012;04_004;MW04_0019;MW04_0021;MW04_0011,"leaves, cassava, raw, (ntapasha/chigwada);leaves, black jack, raw, (chisoso);okra, leaves, fresh, raw;leaves, pumpkin, raw, (nkhwani);leaves, roselle, raw, hibiscus subdaiffa, (chidede);leaves, amaranth, raw, (bonongwe)",NA,NA,NA,85.11333333,51.96966667,276.6210178,0.128333333,0.326,0.869666667,0.248166667,117.8366667,0,38.34266667,1.854666667,231.4387833,0.128813333,5.7664075,NA,439.5906667,74.34933333,54.7,1.075028,0.651023333,0.0089
127,406,Other cultivated green leafy vegetables,1214.05,MAFOODS;MAFOODS;WAFCT;MAFOODS;MAFOODS;MAFOODS,MW04_0014;MW04_0012;04_004;MW04_0019;MW04_0021;MW04_0011,"leaves, cassava, raw, (ntapasha/chigwada);leaves, black jack, raw, (chisoso);okra, leaves, fresh, raw;leaves, pumpkin, raw, (nkhwani);leaves, roselle, raw, hibiscus subdaiffa, (chidede);leaves, amaranth, raw, (bonongwe)",NA,NA,NA,85.11333333,51.96966667,276.6210178,0.128333333,0.326,0.869666667,0.248166667,117.8366667,0,38.34266667,1.854666667,231.4387833,0.128813333,5.7664075,NA,439.5906667,74.34933333,54.7,1.075028,0.651023333,0.0089
128,406,Other cultivated green leafy vegetables,1215.03,MAFOODS;MAFOODS;WAFCT;MAFOODS;MAFOODS;MAFOODS,MW04_0014;MW04_0012;04_004;MW04_0019;MW04_0021;MW04_0011,"leaves, cassava, raw, (ntapasha/chigwada);leaves, black jack, raw, (chisoso);okra, leaves, fresh, raw;leaves, pumpkin, raw, (nkhwani);leaves, roselle, raw, hibiscus subdaiffa, (chidede);leaves, amaranth, raw, (bonongwe)",NA,NA,NA,85.11333333,51.96966667,276.6210178,0.128333333,0.326,0.869666667,0.248166667,117.8366667,0,38.34266667,1.854666667,231.4387833,0.128813333,5.7664075,NA,439.5906667,74.34933333,54.7,1.075028,0.651023333,0.0089
129,407,Gathered wild green leaves,1214.06,MAFOODS;MAFOODS,MW04_0015;MW04_0016,"leaves, cat's whiskers, raw, cleome gynadra, (luni);leaves, jews mallow, raw, corchorus trilocularis, (denje)",NA,NA,NA,79.65,61.8638,303.437,0.1595,0.424,1.5765,0.407,285.9215,0,151.5772,2.0185,1352.557,0.3715,21.880385,NA,576.855,84.095,15.382,1.841242938,1.592,0.0139
130,412,Tinned vegetables (Specify),21397.01.01,KENFCT;KENFCT,4025;4037,"mushroom, raw, canned in brine (drained);tomato, canned, whole contents",NA,NA,NA,93.5,19,16,0.115,0.025,0.95,0.107894737,22.94736842,0,4.5,0.510263158,13,0.182105263,0.8,NA,114,7.5,184,8.5,0.08,0
131,5021,Sun Dried fish (Large Variety),1505.01,MAFOODS;MAFOODS,MW03_0031;MW03_0020,"fish, tilapia, whole, dried, oreochromis shiranus, (chambo chouma);fish, catfish, dry, clarius gariepinus, (mlamba wouma)",NA,NA,NA,11.5,375.006,44.149,0.2385,0.224,4.1925,0.873,20.6915,12.0175,0,1.405,1404.5,0.4,23.619,NA,1256,152,301.5,109.0542806,4.6,0.040887
132,5021,Sun Dried fish (Large Variety),1505.02,MAFOODS;MAFOODS,MW03_0031;MW03_0020,"fish, tilapia, whole, dried, oreochromis shiranus, (chambo chouma);fish, catfish, dry, clarius gariepinus, (mlamba wouma)",NA,NA,NA,11.5,375.006,44.149,0.2385,0.224,4.1925,0.873,20.6915,12.0175,0,1.405,1404.5,0.4,23.619,NA,1256,152,301.5,109.0542806,4.6,0.040887
133,5022,Sun Dried fish (Medium Variety),1505.01,MAFOODS;MAFOODS,MW03_0031;MW03_0020,"fish, tilapia, whole, dried, oreochromis shiranus, (chambo chouma);fish, catfish, dry, clarius gariepinus, (mlamba wouma)",NA,NA,NA,11.5,375.006,44.149,0.2385,0.224,4.1925,0.873,20.6915,12.0175,0,1.405,1404.5,0.4,23.619,NA,1256,152,301.5,109.0542806,4.6,0.040887
134,5022,Sun Dried fish (Medium Variety),1505.02,MAFOODS;MAFOODS,MW03_0031;MW03_0020,"fish, tilapia, whole, dried, oreochromis shiranus, (chambo chouma);fish, catfish, dry, clarius gariepinus, (mlamba wouma)",NA,NA,NA,11.5,375.006,44.149,0.2385,0.224,4.1925,0.873,20.6915,12.0175,0,1.405,1404.5,0.4,23.619,NA,1256,152,301.5,109.0542806,4.6,0.040887
135,5031,Fresh fish (Large Variety),1501.02,KENFCT;uFish,8010;91010,"nile tilapia, fillet, w/o skin and bones, raw;north african catfish, wild, fillet w/ bones, raw",NA,NA,NA,78.19958334,99.23783335,9.5,0.055,0.09,3.131666667,0.258098562,13.98462325,2.505,0,0.349615581,470.5,0.051414056,2.85,NA,261,26,72.5,27.55,4.25,0.010071792
136,5031,Fresh fish (Large Variety),1501.05,KENFCT;uFish,8010;91010,"nile tilapia, fillet, w/o skin and bones, raw;north african catfish, wild, fillet w/ bones, raw",NA,NA,NA,78.19958334,99.23783335,9.5,0.055,0.09,3.131666667,0.258098562,13.98462325,2.505,0,0.349615581,470.5,0.051414056,2.85,NA,261,26,72.5,27.55,4.25,0.010071792
137,5032,Fresh fish (Medium Variety),1501.02,KENFCT;uFish,8010;91010,"nile tilapia, fillet, w/o skin and bones, raw;north african catfish, wild, fillet w/ bones, raw",NA,NA,NA,78.19958334,99.23783335,9.5,0.055,0.09,3.131666667,0.258098562,13.98462325,2.505,0,0.349615581,470.5,0.051414056,2.85,NA,261,26,72.5,27.55,4.25,0.010071792
138,5032,Fresh fish (Medium Variety),1501.05,KENFCT;uFish,8010;91010,"nile tilapia, fillet, w/o skin and bones, raw;north african catfish, wild, fillet w/ bones, raw",NA,NA,NA,78.19958334,99.23783335,9.5,0.055,0.09,3.131666667,0.258098562,13.98462325,2.505,0,0.349615581,470.5,0.051414056,2.85,NA,261,26,72.5,27.55,4.25,0.010071792
139,511,"Termites, other insects (eg Ngumbi, caterpillar)",21170.92.02,MAFOODS;MAFOODS,MW03_0069;MW03_0009,";caterpillar, roasted, imbrasia ertli, (mphalabungu zootcha)",NA,NA,NA,49,193.5238,346.474,0.199,0.704,1.593,0.398,156.643,0,37.9544,1.049,247.96245,0.239,117.180385,NA,593.405,40.595,256.8285969,1.268156425,0.584,0.0417
140,511,"Termites, other insects (eg Ngumbi, caterpillar)",21170.92.03,MAFOODS;MAFOODS,MW03_0069;MW03_0009,";caterpillar, roasted, imbrasia ertli, (mphalabungu zootcha)",NA,NA,NA,49,193.5238,346.474,0.199,0.704,1.593,0.398,156.643,0,37.9544,1.049,247.96245,0.239,117.180385,NA,593.405,40.595,256.8285969,1.268156425,0.584,0.0417
141,5121,Smoked fish (Large Variety),1505.04,MAFOODS;MAFOODS,MW03_0047;MW03_0023,"fish, tilapia, whole, smoked, sun dried, oreochromis shiranus, (chambo chowamba);fish, catfish, smoked, clarias gariepinus, (mlamba wowamba)",NA,NA,NA,11.5,393.907,413.645,0.285,0.318,5.5515,0.881,17.2385,9.8035,0,1.3215,1247,0.1,100.732,NA,1273.5,155.5,311,148.153674,4.5,0.040887
142,5121,Smoked fish (Large Variety),1505.05,MAFOODS;MAFOODS,MW03_0047;MW03_0023,"fish, tilapia, whole, smoked, sun dried, oreochromis shiranus, (chambo chowamba);fish, catfish, smoked, clarias gariepinus, (mlamba wowamba)",NA,NA,NA,11.5,393.907,413.645,0.285,0.318,5.5515,0.881,17.2385,9.8035,0,1.3215,1247,0.1,100.732,NA,1273.5,155.5,311,148.153674,4.5,0.040887
143,5122,Smoked fish (Medium Variety),1505.04,MAFOODS;MAFOODS,MW03_0047;MW03_0023,"fish, tilapia, whole, smoked, sun dried, oreochromis shiranus, (chambo chowamba);fish, catfish, smoked, clarias gariepinus, (mlamba wowamba)",NA,NA,NA,11.5,393.907,413.645,0.285,0.318,5.5515,0.881,17.2385,9.8035,0,1.3215,1247,0.1,100.732,NA,1273.5,155.5,311,148.153674,4.5,0.040887
144,5122,Smoked fish (Medium Variety),1505.05,MAFOODS;MAFOODS,MW03_0047;MW03_0023,"fish, tilapia, whole, smoked, sun dried, oreochromis shiranus, (chambo chowamba);fish, catfish, smoked, clarias gariepinus, (mlamba wowamba)",NA,NA,NA,11.5,393.907,413.645,0.285,0.318,5.5515,0.881,17.2385,9.8035,0,1.3215,1247,0.1,100.732,NA,1273.5,155.5,311,148.153674,4.5,0.040887
145,603,"Citrus Ã¯Â¿Â½ naartje, orange, etc.",1323.01,MAFOODS;MAFOODS,MW05_0018;MW05_0014,"orange, raw, peeled, citrus sinensis, (lalanje losenda);lemon, raw, peeled, (ndimu losenda)",NA,NA,NA,87.15,51.35,5.080952381,0.06,0.015,0.25,0.0375,23.5,0,55,0.23,29.5,0.11,0.3,NA,166.5,8.5,2,0,0.155,3.00E-04
146,603,"Citrus Ã¯Â¿Â½ naartje, orange, etc.",1322.01,MAFOODS;MAFOODS,MW05_0018;MW05_0014,"orange, raw, peeled, citrus sinensis, (lalanje losenda);lemon, raw, peeled, (ndimu losenda)",NA,NA,NA,87.15,51.35,5.080952381,0.06,0.015,0.25,0.0375,23.5,0,55,0.23,29.5,0.11,0.3,NA,166.5,8.5,2,0,0.155,3.00E-04
147,608,"Wild fruit (masau, malambe, etc.)",1359.9.01,MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS,MW05_0013;MW05_0005;MW05_0006;MW05_0009;MW05_0015;MW05_0017;MW05_0024,"jujube, ziziphus mauritiana, (masau);baobab, raw, adansonia digitata,(malambe);custard apple, wild, annona senegalensis, (mpoza);jakjak fruit, azanza garckeana, (matowo);loquats, wild, uapaca kirkiana,(masuku a mtchire);medlar, african, raw, vangueria infausta, (lokwati);tamarind, fruit, raw, tamarindus indica, (bwemba)",NA,NA,NA,57.74714286,166.6325714,14.58038735,0.132272921,0.089588486,0.901943497,0.085857143,19.58366274,0,47.74457783,0.020085911,46.54771429,0.1958,2.951157143,NA,839.9444286,58.94644286,7.9686,4.026429759,0.794473348,0.0059
148,608,"Wild fruit (masau, malambe, etc.)",1359.9.02,MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS,MW05_0013;MW05_0005;MW05_0006;MW05_0009;MW05_0015;MW05_0017;MW05_0024,"jujube, ziziphus mauritiana, (masau);baobab, raw, adansonia digitata,(malambe);custard apple, wild, annona senegalensis, (mpoza);jakjak fruit, azanza garckeana, (matowo);loquats, wild, uapaca kirkiana,(masuku a mtchire);medlar, african, raw, vangueria infausta, (lokwati);tamarind, fruit, raw, tamarindus indica, (bwemba)",NA,NA,NA,57.74714286,166.6325714,14.58038735,0.132272921,0.089588486,0.901943497,0.085857143,19.58366274,0,47.74457783,0.020085911,46.54771429,0.1958,2.951157143,NA,839.9444286,58.94644286,7.9686,4.026429759,0.794473348,0.0059
149,707,Cheese,22251.01.01,KENFCT;KENFCT;KENFCT;KENFCT,6003;6004;6005;6006,"cheese, cheddar, regular fat;cheese, cottage (cow milk), plain, skimmed;cheese, cottage (cow milk), plain, whole;cheese, cottage, milk, cow, sour",NA,NA,NA,66.25,183.75,68,0.0425,0.315,0.65,0.036904197,20.58280805,0.8825,0.25,0.399214231,265.25,0.06626047,0.3,NA,105.75,12.75,422.75,9.75,1.1075,0
150,803,Cooking oil,2162.01,WAFCT;KENFCT;WAFCT,11_003;9013;11_009,"groundnut oil, unfortified;sun flower oil;soya oil, unfortified",NA,NA,NA,0,900,0,0,0,0,0,0,0,0,26,0,0.006666667,0.066666667,NA,0,0.333333333,0,0,0.026666667,0
151,803,Cooking oil,21631.01.01,WAFCT;KENFCT;WAFCT,11_003;9013;11_009,"groundnut oil, unfortified;sun flower oil;soya oil, unfortified",NA,NA,NA,0,900,0,0,0,0,0,0,0,0,26,0,0.006666667,0.066666667,NA,0,0.333333333,0,0,0.026666667,0
