,ihs5_foodid,ihs5_fooditem,food_genus_id,ref_source,ref_fctcode,ref_fctitem,ref,ref_item,fooditem,WATER,ENERC1,VITA_RAE,THIA,RIBF,NIA,VITB6,FOL,VITB12,VITC,VITE,CA,CU,FE,ID,K,MG,na,SE,ZN,ID_cal
11,909,Bottled water,2899.01.01,MAFOODS,MW08_0008,"water, (madzi)",10A,NA,"water, (madzi)",100,0,0,0,0,0,0,0,0,0,0,3.92,0.00019,3.00E-04,1.54,0,3.14,0,0.02,0.00084,0
12,112,"Buns, scones",F0022.01,MAFOODS,MW01_0041,"milk scones, (sikono ya mkaka)",R22,NA,"milk scones, (sikono ya mkaka)",46.96008823,224.3621011,32.17756945,0.110237816,0.168161577,0.331817743,0.044869373,12.90411525,0.323292204,0.336044668,0.056372786,71.75846143,NA,1.803019232,NA,136.6191053,14.79407183,51.41595092,1.342782576,0.355001034,5.00E-04
13,112,"Buns, scones",F0022.02,MAFOODS,MW01_0041,"milk scones, (sikono ya mkaka)",R22,NA,"milk scones, (sikono ya mkaka)",46.96008823,224.3621011,32.17756945,0.110237816,0.168161577,0.331817743,0.044869373,12.90411525,0.323292204,0.336044668,0.056372786,71.75846143,NA,1.803019232,NA,136.6191053,14.79407183,51.41595092,1.342782576,0.355001034,5.00E-04
14,704,Butter,22241.01.01,KENFCT,6001,"butter (cow milk), no added salt (~80-84% fat)","1P(43), 11E(Butter / Beurre), 16V(199), AU14(04A10074), UK7(17-685), US28(01001)",NA,"butter (cow milk), no added salt (~80-84% fat)",17.2,735,845,0,0.05,1.1,0,4.893617021,0,0,2.055319149,15,0.009787234,0,NA,15,2,10,1,0.06,0
15,402,Cabbage,1212.01,MAFOODS,MW04_0004,"cabbage, raw, (kabichi)",10,NA,"cabbage, raw, (kabichi)",92.18,32.041,0,0.039,0.019,0.29,0.077,15.447,0,28.963,0.241,51.324,0.041964,0.8736,NA,167.202,25.506,27.998,0.6981,0.25428,0.0089
16,822,Cassava - boiled (vendor),01520.01.02,MAFOODS,MW01_0010,"cassava, tuber, boiled, (chinangwa chophika)",9,NA,"cassava, tuber, boiled, (chinangwa chophika)",63,145.7824,0.885,0.0265,0.044,0.443,0.062,14.1463,0,19.474,0.177,26,0.2,0.619,NA,263,22,7,0.936708861,0.6,0.001
17,838,Cassava - roasted (vendor),01520.01.03,MAFOODS,MW01_0010,"cassava, tuber, boiled, (chinangwa chophika)",9,NA,"cassava, tuber, boiled, (chinangwa chophika)",63,145.7824,0.885,0.0265,0.044,0.443,0.062,14.1463,0,19.474,0.177,26,0.2,0.619,NA,263,22,7,0.945657568,0.6,0.001
18,202,Cassava flour,23170.01,MAFOODS,MW01_0017,"flour, cassava, raw, (ufa wa kondowole)",11,NA,"flour, cassava, raw, (ufa wa kondowole)",14.04,347.61,0,0.06895,0.10835,1.182,0.16745,46.295,0,3.94,0.038984127,135.93,0.2167,0.53,NA,578.195,44.325,29.55,1.999069767,0.7289,7.00E-04
19,201,Cassava tubers,01520.01.01,MAFOODS,MW01_0011,"cassava, tuber, raw, (chinangwa chachiwisi)",10,NA,"cassava, tuber, raw, (chinangwa chachiwisi)",59.68,159.557,1.01562,0.041,0.051,0.7118,0.091,24.375,0,30.469,0.193,31.5952,0.114049,0.42315,NA,275.232,33.7311,14.214,0.247442,0.43121,0.001
20,705,Chambiko - soured milk,22290.01,LSOFCT,30014,"sour milk, packaged (mafi)",NA,NA,"sour milk, packaged (mafi)",87.8,64.5,17.09848485,0.02,0.15,0.1,0.016,7,0.198712121,1,0.13,162,0.01,0.1,NA,190,14,71,2.2,0.59,0.0278
21,908,Chibuku (commercial traditional-style beer),24310.04.01,LSOFCT,140001,"beer, 5% alcohol",NA,NA,"beer, 5% alcohol",91.96,16.04,0,0.005,0.025,0.041,0.046,6,0,0,0,4,0.005,0.02,NA,27,6,4,0.6,0.01,5.00E-04
