original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg,region
NA,Olives,F0262.01,"olives, preserved",Fruits and Vegetables,olives (including preserved) and products,h,regional-SSA-fct,NA,NA,123.565965,NA,NA,0.8,10.7,NA,NA,NA,NA,3.1,3.2,NA,88,3.3,4,NA,NA,NA,0.22,0.25,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Onions,1253.02.01,"onions, raw",Fruits and Vegetables,onions and products,h,regional-SSA-fct,NA,NA,45.889101,NA,NA,0.9,0.1,NA,NA,NA,NA,8.7,1.5,NA,30,0.5,12,NA,NA,NA,0.31,0.14,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"oranges, mandarines and products",l,regional-SSA-fct,NA,NA,54.493307,NA,NA,0.8,0.1,NA,NA,NA,NA,9.2,3.2,NA,30,0.3,8,NA,NA,NA,0.22,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"oranges, mandarines and products",m,regional-SSA-fct,NA,NA,54.493307,NA,NA,0.8,0.1,NA,NA,NA,NA,9.2,3.2,NA,30,0.3,8,NA,NA,NA,0.22,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Palm Oil,2165.01,palm oil,Other foods,palm oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Palmkernel Oil,21691.14.01,palm kernel oil,Other foods,palmkernel oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Peas,1705.01,"peas, dried, raw",Pulses and Beans,peas and products,l,regional-SSA-fct,NA,NA,88.671128,NA,NA,5.5,0.8,NA,NA,NA,NA,8.3,6.3,NA,20,1.7,28,NA,NA,NA,0.87,0.17,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,S
NA,Pelagic Fish,1527.01,"mackerel, fresh, raw",Animal Products,pelagic fish,l,regional-SSA-fct,NA,NA,196.70172,NA,NA,20.1,13,NA,NA,NA,NA,0,0,NA,29,0.8,29,NA,NA,NA,0.5,0.03,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Pepper,1651.01,"pepper, black",Other foods,pepper and products,h,regional-SSA-fct,NA,NA,336.759082,NA,NA,10.9,3.3,NA,NA,NA,NA,38.3,26.5,NA,437,28.9,194,NA,NA,NA,1.42,1.13,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Pigmeat,21113.02.01,"pig meat, without bones, fresh, raw",Animal Products,pigmeat and products,m,regional-SSA-fct,NA,NA,366.873804,NA,NA,13.9,35.1,NA,NA,NA,NA,0,0,NA,19,0.7,13,NA,NA,NA,1.59,0.06,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
