"region","food_item","energy","carbohydrates_available","protein","fat","fibre","phytate","ca","cu","fe","i","mg","se","zn"
"W","Soyabean Oil","Soybean oil_l","Soybean oil_l","Soybean oil_l","Soybean oil_l","Soybean oil_l","Vegetable oil_d","Soybean oil_l","Vegetable oil_d","Soya oil_k","Soya oil_g","Soybean oil_l","Oil, soybean, salad or cooking_e","Soya oil_k"
"W","Soyabeans","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soybean, yellow_d","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f","Soya bean, dried, raw_f"
"W","Spices, Other","Turmeric, ground_l","Turmeric, ground_l","Turmeric, ground_l","Turmeric, ground_l","Turmeric, ground_l","x_x","Turmeric, ground_l","Turmeric, ground_l","Spices_k","x_x","Turmeric, ground_l","Spices, turmeric, ground_e","Spices_k"
"W","Sugar (Raw Equivalent)","Sugar, white_f","Sugar, white_f","Sugar, white_f","Sugar, white_f","Sugar, white_f","Sugar_j","Sugar, white_f","Sugar, white_f","Sugar, white_f","Sugar, white_f","Sugar, white_f","Sugar, white_f","Sugar, white_f"
"W","Sugar Beet","Beetroot, raw (flesh and skin)_l","Beetroot, raw (flesh and skin)_l","Beetroot, raw (flesh and skin)_l","Beetroot, raw (flesh and skin)_l","Beetroot, raw (flesh and skin)_l","x_x","Beetroot, raw (flesh and skin)_l","Beets, raw_e","Beets, raw_e","x_x","Beetroot, raw (flesh and skin)_l","Beets, raw_e","Beets, raw_e"
"W","Sugar Cane","Sugar cane_j","Sugar cane_j","Sugar cane_j","Sugar cane_j","Sugar cane_j","Sugar cane_j","Sugar cane_j","Sugarcane_d","Sugar cane_j","Sugar, white_f","Sugar cane_j","Sugar, white_f","Sugar cane_j"
"W","Sugar, Non-Centrifugal","Sugarcane juice_d","Sugarcane juice_d","Sugarcane juice_d","Sugarcane juice_d","Sugarcane juice_d","Sugarcane juice_d","Sugarcane juice_d","Sugarcane juice_d","Sugarcane juice_d","Sugar, white_f","Sugarcane juice_d","Sugar, white_f","Sugarcane juice_d"
"W","Sunflowerseed","Sunflower seed, dried_l","Sunflower seed, dried_l","Sunflower seed, dried_l","Sunflower seed, dried_l","Sunflower seed, dried_l","Sunflower seed_d","Sunflower seed, dried_l","Sunflower seed_d","Sunflower seed_d","x_x","Sunflower seed, dried_l","Seeds, sunflower seed kernels, dried_e","Sunflower seed_d"
"W","Sunflowerseed Oil","Sunflower oil_l","Sunflower oil_l","Sunflower oil_l","Sunflower oil_l","Sunflower oil_l","Vegetable oil_d","Sunflower oil_l","Sunflower oil_l","Sunflower oil_l","Sunflower oil_g","Sunflower oil_l","Oil, vegetable, sunflower, linoleic, (approx. 65%)_e","Sunflower oil_l"
"W","Sweet Potatoes","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato_j","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f","Sweet potato, raw_f"
"W","Sweeteners, Other","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e","x_x","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e","x_x","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e","Sweeteners, tabletop, fructose, dry, powder_e"
"W","Tea","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f","Tea leaves_d","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f","Tea, infusion_f"
"W","Tomatoes","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f","Tomatoes_j","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f","Tomato, raw_f"
"W","Vegetables, Other","Cabbage, raw_f","Cabbage, raw_f","Cabbage, raw_f","Cabbage, raw_f","Cabbage, raw_f","Cabbage, raw, green, white_d","Cabbage, raw_f","Cabbage, raw_f","Cabbage, raw_f","Cabbage, raw, average_g","Cabbage, raw_f","Cabbage, raw_f","Cabbage, raw_f"
"W","Wheat","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_j","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f","Wheat flour, white_f"
"W","Wine","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Grape juice_d","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","x_x","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l","Alcoholic beverage, wine, table, all_e","Wine, red/ white/ rose, dry/ semi-sweet/ sparkling (alc 12% v/v; 9.4% w/w)_l"
"W","Yams","Yam tuber, raw_f","Yam tuber, raw_f","Yam tuber, raw_f","Yam tuber, raw_f","Yam tuber, raw_f","Yam_j","Yam tuber, raw_f","Yam tuber, raw_f","Yam tuber, raw_f","x_x","Yam tuber, raw_f","Yam tuber, raw_f","Yam tuber, raw_f"
