"ref_fctcode","ID_3","confidence","fct"
"5031","21346.01","h","KE18"
"4021","1254.01","h","KE18"
"4012","1213.01","m","KE18"
"5027","1345.01","m","KE18"
"5034","1354.01","h","KE18"
"7025","21184.02.01","m","KE18"
"7022","21184.01.01","m","KE18"
"4004","1213.02","h","KE18"
"9002","21691.02.01","h","KE18"
"8012","1527.02","h","KE18"
"4008","1231.01","h","KE18"
"4009","1231.02","h","KE18"
"4010","1231.03","h","KE18"
"15019","F0020.06","h","KE18"
"15020","F0020.04","h","KE18"
"15130","F0020.05","h","KE18"
"15003","F0022.04","m","KE18"
"15025","F0022.07","m","KE18"
"7001","21111.01.03","h","KE18"
"7002","21111.02.01","l","KE18"
"4003","1290.9.06","h","KE18"
"4029","1290.9.07","h","KE18"
"4038","1290.9.08","h","KE18"
"1036","F0022.02","h","KE18"
"3002","1243.01","h","KE18"
"1024","23120.05.01","h","KE18"
"1026","23120.05.02","h","KE18"
"6009","22270.01","h","KE18"
"6010","22270.02","h","KE18"
"6011","22270.03","h","KE18"
"6012","22270.04","h","KE18"
"6013","22270.05","h","KE18"
"1038","23120.06.01","h","KE18"
"1040","23120.06.02","h","KE18"
"8035","1533.02","h","KE18"
"11002","1802.02","h","KE18"
"3005","1701.05","h","KE18"
"10008","1372.01","l","KE18"
"10002","1460.01","h","KE18"
"9007","21641.01.01","m","KE18"
"5002","1341.02","h","KE18"
"50012","1341.03","h","KE18"
"5007","1314.01","h","KE18"
"5008","1314.02","h","KE18"
"9003","1523.01","l","KE18"
"1044","23110.01","m","KE18"
