"ref_fctcode","ID_3","confidence","fct","FoodName_3","FoodName_0","FoodName_1","fe2_confidence"
"10_003","2292.01","h","WA19",NA,NA,NA,NA
"10_023","2291.01","h","WA19",NA,NA,NA,NA
"09_001","1527.03","h","WA19",NA,NA,NA,NA
"01_100","F1232.17","h","WA19",NA,NA,NA,NA
"01_168","F1232.05","m","WA19",NA,NA,NA,NA
"02_039","23170.01.04","h","WA19",NA,NA,NA,NA
"17-355","F1232.07","h","UK21",NA,NA,NA,NA
"13-164","1290.9.01","h","UK21",NA,NA,NA,NA
"17-719","F1232.04","m","UK21",NA,NA,NA,NA
"17-648","F0666.01","m","UK21",NA,NA,NA,NA
"12-545","F0665.01","m","UK21",NA,NA,NA,NA
"13-876","1699.10","h","UK21",NA,NA,NA,NA
"13-245","1232.02","h","UK21",NA,NA,NA,NA
"17-050","2910.01","m","UK21",NA,NA,NA,NA
"17-059","23540.01","m","UK21",NA,NA,NA,NA
"13-300","1239.01.01","h","UK21",NA,NA,NA,NA
"13-499","1253.02.01","h","UK21",NA,NA,NA,NA
"13-130","1705.01","h","UK21",NA,NA,NA,NA
"13-880","1651.01","h","UK21",NA,NA,NA,NA
"13-333","1214.03","h","UK21",NA,NA,NA,NA
"17-367","1699.02","m","UK21",NA,NA,NA,NA
"14-844","1444.01","m","UK21",NA,NA,NA,NA
"13-342","1253.02.02","h","UK21",NA,NA,NA,NA
"17-060","2351F.01","h","UK21",NA,NA,NA,NA
"17-063","23520.01","m","UK21",NA,NA,NA,NA
"17-752","24212.02.02","h","UK21",NA,NA,NA,NA
"16-263","1570.01","h","UK21",NA,NA,NA,NA
"13-376","1550.01","h","UK21",NA,NA,NA,NA
"16-254","1570.02","h","UK21",NA,NA,NA,NA
"16-259","1570.03","h","UK21",NA,NA,NA,NA
"13-888","1290.9.03","h","UK21",NA,NA,NA,NA
"17-718","21340.01","h","UK21",NA,NA,NA,NA
"13-355","1235.02","h","UK21",NA,NA,NA,NA
"13-187","1212.02","h","UK21",NA,NA,NA,NA
"13-149","1215.02","h","UK21",NA,NA,NA,NA
"13-890","1657.01","h","UK21",NA,NA,NA,NA
"14-324","1354.01","h","UK21",NA,NA,NA,NA
"13-509","1212.03","h","UK21",NA,NA,NA,NA
"13-502","1213.02","h","UK21",NA,NA,NA,NA
"13-512","1213.01","h","UK21",NA,NA,NA,NA
"13-380","1290.9.06","m","UK21",NA,NA,NA,NA
"17-755","24212.02.01","m","UK21",NA,NA,NA,NA
"14-845","1445.01","m","UK21",NA,NA,NA,NA
"16-395","1501.01","m","UK21",NA,NA,NA,NA
"13-259","1319.01","m","UK21",NA,NA,NA,NA
"15-305","F0022.05","m","UK21",NA,NA,NA,NA
"17-158","23912.02.01","h","UK21",NA,NA,NA,NA
"13-208","01520.01.01","h","UK21",NA,NA,NA,NA
"16-260","1562.01","h","UK21",NA,NA,NA,NA
"16-154","1501.05","h","UK21",NA,NA,NA,NA
"13-389","1251.02","h","UK21",NA,NA,NA,NA
"14-892","21495.02.01","m","UK21",NA,NA,NA,NA
"13-636","1290.9.04","h","UK21",NA,NA,NA,NA
"13-244","1252.01","m","UK21",NA,NA,NA,NA
"13-624","1254.01","h","UK21",NA,NA,NA,NA
"16-438","1533.02","m","UK21",NA,NA,NA,NA
"12-937","231.01","m","UK21",NA,NA,NA,NA
"12-940","231.02","m","UK21",NA,NA,NA,NA
"16-393","1527.01","h","UK21",NA,NA,NA,NA
"16-401","1527.02","h","UK21",NA,NA,NA,NA
"13-067","1702.02","h","UK21",NA,NA,NA,NA
"17-488","1523.01","h","UK21",NA,NA,NA,NA
"14-376","1318.01","m","UK21",NA,NA,NA,NA
"13-816","1656.01","m","UK21",NA,NA,NA,NA
"17-379","F1232.06","m","UK21",NA,NA,NA,NA
"13-572","1215.01","m","UK21",NA,NA,NA,NA
"11-886","23110.02","m","UK21",NA,NA,NA,NA
"11-002","23140.05.01","h","UK21",NA,NA,NA,NA
"11-788","23140.07.01","l","UK21",NA,NA,NA,NA
"13-086","1701.02","l","UK21",NA,NA,NA,NA
"14-340","F0262.01","l","UK21",NA,NA,NA,NA
"17-034","2168.01","h","UK21",NA,NA,NA,NA
"17-039","2165.01","h","UK21",NA,NA,NA,NA
"17-031","2166.01","h","UK21",NA,NA,NA,NA
"17-043","21691.07.01","m","UK21",NA,NA,NA,NA
"17-686","34550.01","m","UK21",NA,NA,NA,NA
"14-384","1321.02","m","UK21",NA,NA,NA,NA
"14-319","1341.01","m","UK21",NA,NA,NA,NA
"17-165","23914.01","m","UK21",NA,NA,NA,NA
"17-749","24310.01.01","m","UK21",NA,NA,NA,NA
"18-488","21121.01","h","UK21",NA,NA,NA,NA
"18-600","21521.01","l","UK21",NA,NA,NA,NA
"16-007","1501.02","m","UK21",NA,NA,NA,NA
"16-439","1532.01","l","UK21",NA,NA,NA,NA
"13-340","1594.01","l","UK21",NA,NA,NA,NA
"16-492","1518.01","m","UK21",NA,NA,NA,NA
"13-582","1212.01","h","UK21",NA,NA,NA,NA
"17-170","1620.01","l","UK21",NA,NA,NA,NA
"17-171","23914.04","h","UK21",NA,NA,NA,NA
"17-172","23914.05","h","UK21",NA,NA,NA,NA
"14-125","1329.01","h","UK21",NA,NA,NA,NA
"17-515","F1232.11","h","UK21",NA,NA,NA,NA
"17-726","F1232.12","h","UK21",NA,NA,NA,NA
"17-727","F1232.13","h","UK21",NA,NA,NA,NA
"17-672","24490.03","h","UK21",NA,NA,NA,NA
"12-390","22270.06","m","UK21",NA,NA,NA,NA
"12-389","21439.9.04","m","UK21",NA,NA,NA,NA
"17-767","24310.01.03","h","UK21",NA,NA,NA,NA
"11-824","23999.02.01","m","UK21",NA,NA,NA,NA
"17-645","23999.02.02","m","UK21",NA,NA,NA,NA
"17-642","23999.02.03","m","UK21",NA,NA,NA,NA
"03_022","1701.02",NA,"WA19","common beans, dried, raw","Pulses and Beans","beans and products","m"
"12_001","24310.01.01",NA,"WA19","beer, regular","Other foods","beer and products","m"
"12_012","23670.01.02",NA,"WA19","flavoured ice","Other foods","sugar (raw equivalent) and products","m"
"03_057","1708.01",NA,"WA19","bambara bean, dried, raw","Pulses and Beans","pulses, other and products","h"
"13_023","F0623.01",NA,"WA19","jam, mixed fruit","Fruits and Vegetables","fruits, other and products","m"
"13_023","F0623.02",NA,"WA19","jelly, fruits","Fruits and Vegetables","fruits, other and products","m"
"12_002","24230.03.02",NA,"WA19","maize-fermented beverage","Cereals","beverages, fermented and products","m"
"01_095","118.03",NA,"WA19","pearl millet,  grain","Cereals","millet and products","h"
"10_002","22211.01",NA,"WA19","milk, cow, full-fat, powder","Animal Products","milk - (excluding excluding butter butter) and products","m"
"12_024","24490.02",NA,"WA19","sugar sweetned beverage, cola","Other foods","sweeteners, other and products","m"
"12_012","24490.01",NA,"WA19","sugar sweetned beverage, concentrate","Other foods","sweeteners, other and products","l"
"13_021","23670.01.01",NA,"WA19","candies, hard","Other foods","sugar (raw equivalent) and products","l"
"13_021","F0666.01",NA,"WA19","chocolate, milk","Other foods","cocoa beans and products","l"
"12_002","24230.03.03",NA,"WA19","maize- and millet-fermented beverage","Cereals","beverages, fermented and products","m"
"07_063","F1172.01",NA,"WA19","tinned meat","Animal Products","meat, other and products","m"
"07_063","1532.01",NA,"WA19","sardines, tinned","Animal Products","pelagic fish","m"
"12_002","24310.02.01",NA,"WA19","beer, maize grain","Cereals","beverages, fermented and products","l"
"01_043","23110.01",NA,"WA19","wheat flour, unrefined","Cereals","wheat and products","m"
"01_043","23110.02",NA,"WA19","wheat flour, refined","Cereals","wheat and products","m"
"9008","2167.01","h","KE18",NA,NA,NA,NA
"5022","21431.01","h","KE18",NA,NA,NA,NA
"9009","2162.01","h","KE18",NA,NA,NA,NA
"5030","1318.01","h","KE18",NA,NA,NA,NA
"12007","24212.02.02","h","KE18",NA,NA,NA,NA
"3021","1707.01","h","KE18",NA,NA,NA,NA
"1009","23140.03.01","m","KE18",NA,NA,NA,NA
"6022","2211.01","m","KE18",NA,NA,NA,NA
"4026","1239.01.01","h","KE18",NA,NA,NA,NA
"3022","141.01","h","KE18",NA,NA,NA,NA
"4028","1214.04","h","KE18",NA,NA,NA,NA
"6026","22230.01.01","m","KE18",NA,NA,NA,NA
"7021","21114.01","h","KE18",NA,NA,NA,NA
"12008","24212.02.01","m","KE18",NA,NA,NA,NA
"9013","21631.01.01","h","KE18",NA,NA,NA,NA
"8007","1527.01","h","KE18",NA,NA,NA,NA
"5036","1324.01","m","KE18",NA,NA,NA,NA
"9012","2161.01","h","KE18",NA,NA,NA,NA
"15110","1510.02","m","KE18",NA,NA,NA,NA
"5010","1330.01","m","KE18",NA,NA,NA,NA
"5003","1311.01","m","KE18",NA,NA,NA,NA
"3011","1706.01","h","KE18",NA,NA,NA,NA
"5023","1323.01","m","KE18",NA,NA,NA,NA
"6018","22211.01","m","KE18",NA,NA,NA,NA
"7011","231.01","h","KE18",NA,NA,NA,NA
"5015","1322.01","m","KE18",NA,NA,NA,NA
"3004","1701.03","h","KE18",NA,NA,NA,NA
"9005","21700.02.01","l","KE18",NA,NA,NA,NA
"1004","F0022.03","m","KE18",NA,NA,NA,NA
"13002",NA,"m","KE18",NA,NA,NA,NA
"4030","1215.01","h","KE18",NA,NA,NA,NA
"11001","2910.01","h","KE18",NA,NA,NA,NA
"5017","1322.02","m","KE18",NA,NA,NA,NA
"6006","22251.01.01","m","KE18",NA,NA,NA,NA
"1019","112.02","h","KE18",NA,NA,NA,NA
"1018","112.01","h","KE18",NA,NA,NA,NA
"5019","1316.01","m","KE18",NA,NA,NA,NA
"2016","1550.01","h","KE18",NA,NA,NA,NA
"12003","23912.02.01","m","KE18",NA,NA,NA,NA
"13026","1651.01","m","KE18",NA,NA,NA,NA
"7003","21151.02","m","KE18",NA,NA,NA,NA
"3020","1704.01","m","KE18",NA,NA,NA,NA
"13009","1656.01","m","KE18",NA,NA,NA,NA
"11003","23520.01","m","KE18",NA,NA,NA,NA
"4005","1212.02","h","KE18",NA,NA,NA,NA
"7027","231.02","m","KE18",NA,NA,NA,NA
"4007","1212.03","h","KE18",NA,NA,NA,NA
"10001","1708.01","h","KE18",NA,NA,NA,NA
"1025","118.03","l","KE18",NA,NA,NA,NA
"2013","1530.01","l","KE18",NA,NA,NA,NA
"1032","23120.01.01","m","KE18",NA,NA,NA,NA
"7004","21111.01.02","m","KE18",NA,NA,NA,NA
"1039","114.01","l","KE18",NA,NA,NA,NA
"4036","1234.01","m","KE18",NA,NA,NA,NA
"4032","1235.02","m","KE18",NA,NA,NA,NA
"7016","21116.01","l","KE18",NA,NA,NA,NA
"1027","118.02","m","KE18",NA,NA,NA,NA
"3016","1705.01","m","KE18",NA,NA,NA,NA
"2019","1540.01","m","KE18",NA,NA,NA,NA
"2007","01520.01.01","m","KE18",NA,NA,NA,NA
"5004","1312.01","m","KE18",NA,NA,NA,NA
"1031","23710.01","m","KE18",NA,NA,NA,NA
"2014","1530.02","m","KE18",NA,NA,NA,NA
"4016","1232.01","m","KE18",NA,NA,NA,NA
"6001","22241.01.01","h","KE18",NA,NA,NA,NA
"12004","F0665.01","m","KE18",NA,NA,NA,NA
"10010","1379.9.01","l","KE18",NA,NA,NA,NA
"15026","F0022.05","h","KE18",NA,NA,NA,NA
"13028","1699.03","h","KE18",NA,NA,NA,NA
"12005","23914.02","m","KE18",NA,NA,NA,NA
"13031","21399.01.01","m","KE18",NA,NA,NA,NA
"10006","1442.01","h","KE18",NA,NA,NA,NA
"5009","1491.02.01","l","KE18",NA,NA,NA,NA
"1041","1199.9.01","m","KE18",NA,NA,NA,NA
"1045","111.01","m","KE18",NA,NA,NA,NA
"3001","1702.02","m","KE18",NA,NA,NA,NA
"3010","1703.01","m","KE18",NA,NA,NA,NA
"13023","1253.02.01","l","KE18",NA,NA,NA,NA
"2009","1510.01","m","KE18",NA,NA,NA,NA
"10009","142.01","l","KE18",NA,NA,NA,NA
"13006","1652.01","m","KE18",NA,NA,NA,NA
"13007","1652.02","m","KE18",NA,NA,NA,NA
"7009","21121.03","h","KE18",NA,NA,NA,NA
"8010","1501.05","m","KE18",NA,NA,NA,NA
"1007","F0020.01","m","KE18",NA,NA,NA,NA
"6008","22241.02.01","h","KE18",NA,NA,NA,NA
"1034","23161.02.01","m","KE18",NA,NA,NA,NA
"13017","1699.07","h","KE18",NA,NA,NA,NA
"3019","1709.9.01","m","KE18",NA,NA,NA,NA
"10014","1444.01","m","KE18",NA,NA,NA,NA
"10015","1445.01","m","KE18",NA,NA,NA,NA
"4019","1212.04","m","KE18",NA,NA,NA,NA
"4022","1214.01","h","KE18",NA,NA,NA,NA
"13019","1252.01","m","KE18",NA,NA,NA,NA
"5024","1317.01","m","KE18",NA,NA,NA,NA
"4011","1251.01","m","KE18",NA,NA,NA,NA
"2005","1290.9.01","m","KE18",NA,NA,NA,NA
"8002","1505.07","h","KE18",NA,NA,NA,NA
"4034","1290.9.02","m","KE18",NA,NA,NA,NA
"2004","1313.01","m","KE18",NA,NA,NA,NA
"4001","1215.02","m","KE18",NA,NA,NA,NA
"1023","1290.01.01","h","KE18",NA,NA,NA,NA
"1051","1290.01.03","m","KE18",NA,NA,NA,NA
"13024","1253.01.01","h","KE18",NA,NA,NA,NA
"6007","22120.02","h","KE18",NA,NA,NA,NA
"13011","1290.9.03","h","KE18",NA,NA,NA,NA
"7020","21113.02.01","h","KE18",NA,NA,NA,NA
"15125","F0022.08","h","KE18",NA,NA,NA,NA
"13015","1699.10","h","KE18",NA,NA,NA,NA
"4013","1290.9.04","h","KE18",NA,NA,NA,NA
"1005","F0020.02","m","KE18",NA,NA,NA,NA
"5012","1319.01","m","KE18",NA,NA,NA,NA
"7019","21115.01","m","KE18",NA,NA,NA,NA
"10003","1460.02","m","KE18",NA,NA,NA,NA
"9011","21700.02.02","m","KE18",NA,NA,NA,NA
"9001","F1243.02","m","KE18",NA,NA,NA,NA
"5028","1342.01.01","m","KE18",NA,NA,NA,NA
"4014","1235.04","m","KE18",NA,NA,NA,NA
"4037","21399.02.01","m","KE18",NA,NA,NA,NA
"1030","23710.02","h","KE18",NA,NA,NA,NA
"15081","23914.03","m","KE18",NA,NA,NA,NA
"6019","22110.02.01","h","KE18",NA,NA,NA,NA
"5025","1319.02","h","KE18",NA,NA,NA,NA
"8011","1553.02","h","KE18",NA,NA,NA,NA
