"ref_fctcode","ID_3","confidence","fct"
"1051","1290.01.03","m","KE18"
"13024","1253.01.01","h","KE18"
"6007","22120.02","h","KE18"
"13011","1290.9.03","h","KE18"
"7020","21113.02.01","h","KE18"
"15125","F0022.08","h","KE18"
"13015","1699.10","h","KE18"
"4013","1290.9.04","h","KE18"
"1005","F0020.02","m","KE18"
"5012","1319.01","m","KE18"
"7019","21115.01","m","KE18"
"10003","1460.02","m","KE18"
"9011","21700.02.02","m","KE18"
"9001","F1243.01","m","KE18"
"5028","1342.01.01","m","KE18"
"4014","1235.04","m","KE18"
"4037","21399.02.01","m","KE18"
"1030","23710.02","h","KE18"
"15081","23914.03","m","KE18"
"6019","22110.02.01","h","KE18"
"5025","1319.02","h","KE18"
"8011","1553.02","h","KE18"
"5031","1346.01","h","KE18"
"4021","1254.01","h","KE18"
"4012","1213.01","m","KE18"
"5027","1345.01","m","KE18"
"5034","1354.01","h","KE18"
"7025","21184.02.01","m","KE18"
"7022","21184.01.01","m","KE18"
"4004","1213.02","h","KE18"
"9002","21691.02.01","h","KE18"
"8012","1527.02","h","KE18"
"4008","1231.01","h","KE18"
"4009","1231.02","h","KE18"
"4010","1231.03","h","KE18"
"15019","F0020.06","h","KE18"
"15020","F0020.04","h","KE18"
"15130","F0020.05","h","KE18"
"15003","F0022.04","m","KE18"
"15025","F0022.06","m","KE18"
"7001","21111.01.03","h","KE18"
"7002","21111.02.01","l","KE18"
"4003","1290.9.06","h","KE18"
"4029","1290.9.07","h","KE18"
"4038","1290.9.08","h","KE18"
"1036","F0022.02","h","KE18"
"3002","1243.01","h","KE18"
"1024","23120.05.01","h","KE18"
"1026","23120.05.02","h","KE18"
"6009","22270.01","h","KE18"
"6010","22270.02","h","KE18"
"6011","22270.03","h","KE18"
"6012","22270.04","h","KE18"
"6013","22270.05","h","KE18"
"1038","23120.06.01","h","KE18"
"1040","23120.06.02","h","KE18"
"8035","1533.02","h","KE18"
"11002","1802.02","h","KE18"
