"source_fct","fdc_id","food_desc","scientific_name","food_group","nutrient_data_source","Edible_factor_in_FCT","ENERCkJ","ENERCkcal","WATERg","PROCNTg","FATg","CHOAVLDFg","FIBTGg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","SEmcg","VITA_RAEmcg","VITAmcg","RETOLmcg","CARTBEQmcg","THIAmg","RIBFmg","NIAmg","FOLDFEmcg","FOLFDmcg","VITB12mcg","VITCmg","CHOLEmg","OXALACmg","PHYTCPPDmg","TRPmg","FASATgstandardized","FAMSgstandardized","FAPUgstandardized","FATRNgstandardized","F20D5gstandardized","F22D6gstandardized","ALCg"
"KE18","1023","Green Maize, white, whole, grain, fresh, raw","Zea mays","CEREALS AND CEREAL PRODUCTS","SGS, IN17-A007",0.68,655,157,55.1,4.1,2.5,21.4,16.1,0.8,18,1.2,39,188,188,8,1.95,5,8,16,0,98,0.18,0.1,1.55,78,78,0,0.9,NA,12,NA,23.55873,0.4522375,0.857325,0.98854,0,0,0,0
"KE18","1051","Green maize, white, whole, grain, fresh, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,0.69,612,146,58,3.8,2.3,20,15,0.8,17,1.1,36,167,141,6,1.73,5,7,14,0,82,0.08,0.07,1.1,51,51,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1052","Green Maize, white, whole, grain, fresh, stewed (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,0.62,850,203,41.7,5.3,3.2,27.8,20.9,1.1,23,1.6,50,245,244,10,2.53,7,10,20,0,121,0.17,0.13,1.9,81,81,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1024","Millet, bulrush, flour","Pennisetum glaucum","CEREALS AND CEREAL PRODUCTS","SGS, KEN93-18",1,1490,354,11,10.5,5.3,61.8,8.8,2.7,32,32.4,84,263,291,4,4.14,34,0,0,0,0,0.27,0.17,1.5,162,162,0,3,NA,NA,NA,140,1.0811576,1.3384567,2.1306371,0.0072928,0,0,0
"KE18","1025","Millet, bulrush, grain, dry, raw","Pennisetum glaucum","CEREALS AND CEREAL PRODUCTS","SGS, KEN93-18a, IN17-A003",1,1490,354,11,9.8,5.3,62.5,8.8,2.7,32,6.3,84,427,291,4,4.14,25,2,5,0,28,0.27,0.17,1.5,162,162,0,3,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1053","Millet, bulrush, whole, grain, dry, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,623,148,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,169,97,3,1.64,11,1,2,0,11,0.06,0.05,0.5,47,47,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1054","Millet, bulrush, whole, grain, dry, stewed, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,623,148,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,178,122,3,1.73,11,1,2,0,11,0.08,0.07,0.6,54,54,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1026","Millet, finger, flour","Eleusine coracana","CEREALS AND CEREAL PRODUCTS","KEN93-18b,k031,",1,1290,306,11.3,7.4,2,53.3,22.6,3.5,344,18.5,154,183,538,2,1.7,2.7,0,0,0,2,0.19,0.04,4.6,93,93,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1027","Millet, Finger, grain, dried, raw","Eleusine coracana","CEREALS AND CEREAL PRODUCTS","KEN93-18b,k031, IN17-A010, AU14-02A10347",1,1280,305,11.3,7.38,1.9,53.5,22.6,3.5,344,11.3,154,183,538,2,1.7,15.3,0,0,0,2,0.19,0.04,4.6,93,93,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1028","Millet Yeast (germinated millet seeds)","Eleusine coracana","CEREALS AND CEREAL PRODUCTS","KEN93-19, KEN17-001027",1,1270,302,12.7,7.4,1.9,52.7,22.6,2.9,859,27.6,180,245,81,6,1.64,15,0,0,0,0,0.16,0.04,4.5,93,90,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1029","Oat bran, unprocessed, uncooked",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-339, AU14-02A10356, ZA10-3304, US28-20033",1,1570,373,5.6,10.7,7.5,57.8,15.5,2.9,54,4.4,153,491,362,12,3.2,45,0,0,0,0,0.76,0.14,0.8,33,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1030","Pasta, macaroni, plain, dry, raw-imported",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-9, AU14-02A10358",1,1570,370,7.1,13.7,1.5,73.8,3.3,0.7,21,1.9,44,148,147.6,5.2,0.6,13,0,0,0,0,0.07,0.03,1.1,17,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1065","Pasta, macaroni, plain, dry, imported, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,637,150,62.2,5.6,0.6,30,1.4,0.3,10,0.6,16,57,36,3,0.25,5,0,0,0,0,0.03,0.01,0.4,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1066","Pasta, macaroni, plain, dry, imported boiled in recipe (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,NA,637,150,62.2,5.6,0.6,30,1.4,0.3,10,0.8,18,60,60,4,0.25,5,0,0,0,0,0.02,0.01,0.4,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1031","Pasta, spaghetti, dry, raw-imported",NA,"CEREALS AND CEREAL PRODUCTS","AU14-02A10358, US28-20420",1,1500,354,10.6,12.7,1.4,71,3.2,1.1,18,1,30,172,142,5,0.6,12,0,0,0,0,0.07,0.06,1.1,16,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1063","Pasta, spaghetti, dry, imported, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,517,122,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,9,56,30,3,0.21,4,0,0,0,0,0.02,0.02,0.3,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1064","Pasta, spaghetti, dry, imported, boiled in recipe (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,517,122,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,11,59,49,4,0.21,4,0,0,0,0,0.02,0.02,0.3,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1032","Rice, Flour","Oryza sativa","CEREALS AND CEREAL PRODUCTS","AU14-02A20106, ZA10-3381, UK7-11-021",1,1490,352,11.9,6,1.1,78.4,2.1,0.5,14,0.8,37,146,155,2,0.95,12,0,0,0,0,0.12,0.03,2.9,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1033","Rice, parboiled, raw","Oryza sativa","CEREALS AND CEREAL PRODUCTS","KEN93-20,IN17-A014",1,1460,345,12,7,0.5,76.2,3.7,0.6,9,1.7,26,125,100,6,1.06,1,0,0,0,0,0.25,0.02,2.5,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1060","Rice, parboiled, boiled (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,NA,505,119,69.6,2.4,0.2,26.3,1.3,0.2,5,0.6,10,43,35,4,0.36,0,0,0,0,0,0.06,0.01,0.8,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1034","Rice, white, milled, polished grain, dry, raw","Oryza sativa","CEREALS AND CEREAL PRODUCTS","SGS, IN17-A015, AU14-02A10368",1,1500,353,12.2,7.6,1,78.1,0.7,0.4,21,0.9,23,144,59,17,1.32,1,0,0,0,0,0.07,0.11,1.1,9,9,0,0,NA,0,NA,80,0.294355,0.3142875,0.23678875,0,0,0,0
"KE18","1059","Rice, white, milled, polished grain, dry, boiled (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,NA,503,119,70.5,2.6,0.3,26.2,0.2,0.2,9,0.3,8,48,20,8,0.44,0,0,0,0,0,0.02,0.04,0.4,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
