"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"3065","Lentils, whole, dry, water-soaked, boiled in different water, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"66","120","506",NA,"10.7","0.2",NA,NA,NA,NA,"15.6","6.3","1.1","21","1.7","24","72","148","5","0.85",NA,NA,NA,"8","0",0.1,"0.05",0.6,NA,NA,"25","0",NA,NA,"2",NA,NA,NA
"3066","Lentils, whole, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,NA,NA,NA,NA,"KE18",NA,"78.8","75","316",NA,"6.7","0.2",NA,NA,NA,NA,"9.7","4","0.7","21","1.7","24","72","148","5","0.85",NA,NA,NA,"8","0",0.08,"0.04",0.5,NA,NA,"19","0",NA,NA,"1",NA,NA,NA
"3021","Pigeon peas, dry, raw","1707.01","pigeon peas, dried, raw","Pulses and Beans","pulses, other and products","h","KE18","KEN93-55 (a), KEN93-55(a)(i),KEN93-55(a)(i),KEN93-55(a)(ii),KEN93-55(b),KEN93-55(b),KEN93-55(c'),KEN93-55(c)(i),KEN93-55(c)(i),KEN93-55(c)(ii),KEN93-55(c)(ii),KEN93-55(c)(ii),KEN93-55(c)(ii),KEN93-55(c)(ii), IN17-B022UP1-CAC001","12.1","303","1272",NA,"20.9","2.1",NA,NA,NA,NA,"38.9","22.1","3.8","172","5.4","128","272","1200","21","2.9",NA,NA,NA,"15","19",0.72,"0.14",2.34,NA,NA,"340","0",NA,NA,"1.5",NA,NA,"585"
"3067","Pigeon peas, dry, unsoaked, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"61.8","132","553",NA,"9.1","0.9",NA,NA,NA,NA,"16.9","9.6","1.7","65","2","48","106","391","8","1.13",NA,NA,NA,"7","8",0.2,"0.05",0.7,NA,NA,"74","0",NA,NA,"0",NA,NA,NA
"3068","Pigeon peas, dry, unsoaked, boiled (without salt, water not discarded)",NA,NA,NA,NA,NA,"KE18",NA,"72.5","95","398",NA,"6.5","0.7",NA,NA,NA,NA,"12.1","6.9","1.2","56","1.7","41","85","375","8","0.91",NA,NA,NA,"5","6",0.18,"0.04",0.6,NA,NA,"64","0",NA,NA,"0",NA,NA,NA
"3069","Pigeon peas, dry, water-soaked, boiled in different water, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"61.8","132","553",NA,"9.1","0.9",NA,NA,NA,NA,"16.9","9.6","1.7","65","2","48","106","391","8","1.13",NA,NA,NA,"7","8",0.2,"0.05",0.7,NA,NA,"74","0",NA,NA,"0",NA,NA,NA
"3070","Pigeon peas, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,NA,NA,NA,NA,"KE18",NA,"72.5","95","398",NA,"6.5","0.7",NA,NA,NA,NA,"12.1","6.9","1.2","56","1.7","41","85","375","8","0.91",NA,NA,NA,"5","6",0.18,"0.04",0.6,NA,NA,"64","0",NA,NA,"0",NA,NA,NA
"3022","Soybean, dry, raw","141.01","soybeans, dried, raw","Pulses and Beans","soyabeans and products","h","KE18","KEN93-56(a) ,KEN93-56(a)(i),KEN93-56(b),KEN93-56(c)(i),KEN93-56(c)(i),AU14-13A20129,IN17-B025","12.7","386","1605",NA,"34","19.1",NA,NA,NA,NA,"9.7","19.3","5.2","228","7.3","203","384","1730","7","3.83",NA,NA,NA,"22","0",0.73,"0.15",2.59,NA,NA,"359","0",NA,NA,"0",NA,NA,"425"
"3071","Soybean, dry, unsoaked, boiled, drained (without salt)","141.04","soybeans, not soaked, boiled, drained","Pulses and Beans","soyabeans and products","h","KE18",NA,"64","159","661",NA,"14","7.9",NA,NA,NA,NA,"4","7.9","2.2","81","2.5","72","142","533","4","1.42",NA,NA,NA,"9","0",0.19,"0.05",0.7,NA,NA,"74","0",NA,NA,"0",NA,NA,NA
"3072","Soybean, dry, water-soaked, boiled in different water, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"64","159","661",NA,"14","7.9",NA,NA,NA,NA,"4","7.9","2.2","81","2.5","72","142","533","4","1.42",NA,NA,NA,"9","0",0.19,"0.05",0.7,NA,NA,"74","0",NA,NA,"0",NA,NA,NA
"4001","Amaranth, leaves, picked, raw","1215.02","amaranth leaves, fresh, raw","Fruits and Vegetables","vegetables, other and products","m","KE18","SGS, IN17-C004, ZA10-3785, KEN93-70","84.6","36","150",NA,"3.7","0.2",NA,NA,NA,NA,"1.3","7.2","3.1","280","6.8","122","89","597","18","0.92",NA,NA,NA,"22","326",0.03,"0.22",0.69,NA,NA,"64","0",NA,NA,"77",NA,NA,"5"
"4039","Amaranth, leaves, picked, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"83.8","38","158",NA,"3.9","0.3",NA,NA,NA,NA,"1.3","7.6","3.2","280","5.3","77","84","314","14","0.73",NA,NA,NA,"20","309",0.02,"0.15",0.5,NA,NA,"34","0",NA,NA,"33",NA,NA,NA
"4040","Amaranth, leaves, picked, stewed (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"81","45","186",NA,"4.6","0.3",NA,NA,NA,NA,"1.5","8.9","3.8","346","8.3","151","110","737","22","1.14",NA,NA,NA,"27","362",0.03,"0.26",0.8,NA,NA,"55","0",NA,NA,"57",NA,NA,NA
