"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"19820","Snacks, sesame sticks, wheat-based, unsalted",NA,NA,NA,NA,NA,"US19",NA,"2","541","2264",NA,"10.9","36.7","6.48","10.91","17.42","0",NA,NA,"3.9","170","0.74","45","138","177","29","1.17","0.406",NA,NA,NA,"4",0.123,"0.063",1.552,0.086,"0","22","0","0.234",NA,"0",NA,NA,NA
"19821","Snacks, trail mix, regular, unsalted",NA,NA,NA,NA,NA,"US19",NA,"9.2","462","1933",NA,"13.8","29.4","5.55","12.53","9.65","0",NA,NA,"2.6","78","3.05","158","345","685","10","3.22","0.985",NA,NA,NA,"1",0.462,"0.198",4.712,0.298,"0","71","0","0.895",NA,"1.4",NA,NA,NA
"19822","Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",NA,NA,NA,NA,NA,"US19",NA,"6.6","484","2025",NA,"14.2","31.9","6.1","13.54","11.29","0",NA,NA,"2.3","109","3.39","161","387","648","27","3.14","0.844",NA,NA,NA,"13",0.413,"0.224",4.405,0.259,"0","65","0","0.964",NA,"1.3",NA,NA,NA
"19823","Potato chips, without salt, reduced fat",NA,NA,NA,NA,NA,"US19",NA,"1","487","2037",NA,"7.1","20.8","4.16","4.8","10.94","0",NA,"6.1","3.3","21","1.35","89","193","1744","8","1.01","0.348",NA,NA,NA,"0",0.21,"0.27",7,0.67,"0","10","0",NA,NA,"25.7","0",NA,NA
"19833","Snacks, tortilla chips, low fat, unsalted",NA,NA,NA,NA,NA,"US19",NA,"1.7","416","1739",NA,"11","5.7","0.85","1.66","2.87","0",NA,"5.3","1","159","1.6","97","318","272","15","1.15","0.11",NA,NA,NA,"4",0.22,"0.28",0.42,0.18,"0","16","0",NA,NA,"0.2","0",NA,NA
"19856","Frozen novelties, juice type, POPSICLE SCRIBBLERS",NA,NA,NA,NA,NA,"US19","S1067","79.96","81","338",NA,"0","0.24",NA,NA,NA,NA,NA,"0","0.12","5","0.3","3","2","23","13","0.07","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2",NA,NA,NA
"19857","Snacks, tortilla chips, nacho-flavor, made with enriched masa flour",NA,NA,NA,NA,NA,"US19",NA,"1.7","511","2137",NA,"7.8","25.6","4.9","15.09","3.54","3",NA,"5.3","2.6","147","3.7","82","244","216","708","1.2","0.177",NA,NA,NA,"24",0.4,"0.35",4,0.286,"0","130","0.05","0.29",NA,"1.8",NA,NA,NA
"19858","Candies, sugar-coated almonds",NA,NA,NA,NA,NA,"US19",NA,"2.3","465","1945",NA,"10","17.93","1.948","12.078","3.904","0",NA,"2.5","1.51","100","1.9","137","166","255","13","1.56","0.586",NA,NA,NA,"0",0.05,"0.27",1,0.06,"0","15","0","0.156",NA,"0","0",NA,NA
"19860","Cocoa, dry powder, hi-fat or breakfast, processed with alkali",NA,NA,NA,NA,NA,"US19",NA,"3","479","2006",NA,"16.8","23.71","12.64","7.38","0.769","0",NA,"33.9","6.79","122","14.5","476","758","2509","20","6.7","3.61",NA,NA,NA,"0",0.08,"0.37",1.8,0.19,"0","38","0",NA,NA,"0","0",NA,NA
"19866","Candies, soft fruit and nut squares",NA,NA,NA,NA,NA,"US19",NA,"13.88","390","1633",NA,"2.31","9.52","0.898","1.297","6.84","0",NA,"2.4","0.4","17","0.93","25","54","82","131","0.53","0.303",NA,NA,NA,"0",0.047,"0.039",0.178,0.082,"0","11","0","0.112",NA,"0.2","0",NA,NA
"19867","Ice creams, vanilla, fat free",NA,NA,NA,NA,NA,"US19",NA,"64.35","138","578",NA,"4.48","0","0","0","0","0",NA,"1","1.11","149","0","21","150","302","97","1.06","0.028",NA,NA,NA,"200",0.051,"0.248",0.14,0.047,"0","7","0.45",NA,NA,"0","0",NA,NA
"19868","Sweeteners, tabletop, sucralose, SPLENDA packets",NA,NA,NA,NA,NA,"US19","S2109","8.83","336","1404",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0","4","0","0","0",NA,NA,NA,"0",0,"0",0,0,"0","0","0","0",NA,"0","0",NA,NA
"19871","Frozen novelties, No Sugar Added, FUDGSICLE pops",NA,NA,NA,NA,NA,"US19","S8408","69.93","124","519",NA,"3.67","1.87","0.984","0.649","0.149","2",NA,"1.5","1.41","231","1.58","27","160","253","96","0.55","0.107",NA,NA,NA,"0",0.07,"0.23",0.175,0.058,"0","6","0.07","0.272",NA,"0","0",NA,NA
"19873","Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops",NA,NA,NA,NA,NA,"US19","S1067","94.03","21","86",NA,"0","0","0",NA,NA,"0",NA,"0","0.06","0","0.67","1","0","11","10","0.47","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.4",NA,NA,NA
